sample_id,size,size_kb,gc,predicted_mobility,total_defense_count,defense_richness,shannon_diversity,has_defense,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,cat_BREX,cat_CBASS,cat_CRISPR-Cas,cat_DISARM,cat_Druantia,cat_Other,cat_Phage Defense,cat_Restriction-Modification,cat_pAgo
NC_014302.1,23727,23.727,0.476419269,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halalkalicoccaceae,g__Halalkalicoccus,s__Halalkalicoccus jeotgali,0,0,0,0,0,0,0,0,0
NC_014303.1,6951,6.951,0.605955978,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halalkalicoccaceae,g__Halalkalicoccus,s__Halalkalicoccus jeotgali,0,0,0,0,0,0,0,0,0
NC_014409.1,4440,4.44,0.454054054,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae,g__Methanothermobacter,s__Methanothermobacter marburgensis,0,0,0,0,0,0,0,0,0
NC_014731.1,339010,339.01,0.57257603,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halogeometricum,s__Halogeometricum borinquense,0,0,0,0,0,0,0,0,0
NC_014732.1,194834,194.834,0.588270014,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halogeometricum,s__Halogeometricum borinquense,0,0,0,0,0,0,0,0,0
NC_014735.1,362194,362.194,0.561017024,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halogeometricum,s__Halogeometricum borinquense,0,0,0,0,0,0,0,0,0
NC_014736.1,210350,210.35,0.564559068,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halogeometricum,s__Halogeometricum borinquense,0,0,0,0,0,1,0,0,0
NC_014737.1,17535,17.535,0.646478472,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halogeometricum,s__Halogeometricum borinquense,0,0,0,0,0,0,0,0,0
NC_015430.1,18019,18.019,0.438814585,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix,s__Methanothrix soehngenii,0,0,0,0,0,0,0,0,0
NC_015471.1,54159,54.159,0.383223472,non-mobilizable,3,3,1.0986122886681096,1,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus_B,s__Thermococcus_B barophilus,0,0,0,0,0,1,0,2,0
NC_015632.1,14930,14.93,0.2683858,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanothermococcus_A,s__Methanothermococcus_A okinawensis,0,0,0,0,0,0,0,0,0
NC_015658.1,436718,436.718,0.615321558,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halopiger,s__Halopiger xanaduensis,0,0,0,0,0,1,0,0,0
NC_015659.1,68763,68.763,0.621511569,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halopiger,s__Halopiger xanaduensis,0,0,0,0,0,0,0,0,0
NC_015667.1,181778,181.778,0.589972384,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halopiger,s__Halopiger xanaduensis,0,0,0,0,0,2,0,0,0
NC_015944.1,405816,405.816,0.598872395,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,0,0,0,0,0,0,0,0,0
NC_016049.1,7646,7.646,0.305388438,non-mobilizable,0,0,0.0,0,p__Thermoplasmatota,c__Thermoplasmata,o__Thermoplasmatales,f__Thermoplasmataceae,g__Picrophilus,s__Picrophilus oshimae,0,0,0,0,0,0,0,0,0
NC_016637.1,11991,11.991,0.539738137,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Methanosarcinia,o__Methanotrichales,f__Methanotrichaceae,g__Methanothrix_A,s__Methanothrix_A harundinacea_E,0,0,0,0,0,0,0,0,0
NC_017457.1,100258,100.258,0.438568493,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloquadratum,s__Haloquadratum walsbyi,0,0,0,0,0,0,0,2,0
NC_017458.1,6056,6.056,0.520310436,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloquadratum,s__Haloquadratum walsbyi,0,0,0,0,0,0,0,0,0
NC_017460.1,6129,6.129,0.51052374,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloquadratum,s__Haloquadratum walsbyi,0,0,0,0,0,0,0,0,0
NC_017942.1,129210,129.21,0.575574646,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,0,0,0,0,0,0,0,0,0
NC_017943.1,321908,321.908,0.5789853,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,0,0,0,0,0,0,0,0,0
NC_017944.1,504705,504.705,0.575102287,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,0,0,1,0,0,0,0,0,0
NC_018225.1,95989,95.989,0.586046318,non-mobilizable,4,3,1.0397207708399179,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema gari,1,0,0,0,0,1,0,2,0
NC_019285.1,10795,10.795,0.610004632,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax volcanii,0,0,0,0,0,0,0,0,0
NC_019963.1,275821,275.821,0.58344361,non-mobilizable,4,3,1.0397207708399179,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema pellirubrum,1,0,0,0,0,0,0,2,1
NC_019967.1,287800,287.8,0.570128562,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrinema,s__Natrinema pellirubrum,0,0,0,0,0,0,0,0,0
NC_019972.1,285109,285.109,0.354173316,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanomethylovorans,s__Methanomethylovorans hollandica,0,0,0,0,0,1,0,1,0
NC_019975.1,12939,12.939,0.548419507,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronococcus,s__Natronococcus occultus,0,0,0,0,0,0,0,0,0
NC_019976.1,287963,287.963,0.613120436,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronococcus,s__Natronococcus occultus,0,0,0,0,0,0,0,0,0
NC_021913.1,330369,330.369,0.574094422,non-mobilizable,6,5,1.5607104090414063,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halorhabdus,s__Halorhabdus tiamatea,2,0,0,1,0,1,0,2,0
NC_021914.1,27975,27.975,0.395460232,non-mobilizable,0,0,0.0,0,p__Thermoproteota,c__Thermoprotei_A,o__Sulfolobales,f__Sulfolobaceae,g__Saccharolobus,s__Saccharolobus solfataricus,0,0,0,0,0,0,0,0,0
NC_023011.1,125764,125.764,0.553139213,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,0,0,1,0,0,1,0,0,0
NC_025188.1,13053,13.053,0.663755459,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum sp000296615,0,0,0,0,0,0,0,0,0
NZ_AP011527.1,12084,12.084,0.289142668,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanococci,o__Methanococcales,f__Methanococcaceae,g__Methanococcus,s__Methanococcus maripaludis,0,0,0,0,0,0,0,0,0
NZ_AP011953.1,11015,11.015,0.425056741,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae,g__Methanothermobacter,s__Methanothermobacter sp000828575,0,0,0,0,0,0,0,0,0
NZ_AP017559.1,138020,138.02,0.53203159,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halopenitus,s__Halopenitus persicus_A,0,0,0,0,0,1,0,0,1
NZ_AP017570.1,141523,141.523,0.564713863,non-mobilizable,3,2,0.6365141682948128,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum trapanicum_A,1,0,0,0,0,0,0,2,0
NZ_AP017571.1,103081,103.081,0.577128666,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum trapanicum_A,0,0,0,0,0,1,0,0,0
NZ_AP025699.1,22428,22.428,0.38407348,non-mobilizable,0,0,0.0,0,p__Methanobacteriota,c__Methanobacteria,o__Methanobacteriales,f__Methanothermobacteraceae_A,g__Methanothermobacter_A,s__Methanothermobacter_A tenebrarum,0,0,0,0,0,0,0,0,0
NZ_CP007056.1,573680,573.68,0.59826384,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,0,0,0,0,0,0,0,0,0
NZ_CP007057.1,464581,464.581,0.569696135,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,0,0,0,0,0,1,0,0,0
NZ_CP007058.1,172663,172.663,0.591921836,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,0,0,0,0,0,0,0,0,0
NZ_CP007059.1,130926,130.926,0.594236439,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,0,0,0,0,0,0,0,0,0
NZ_CP007552.1,131983,131.983,0.572703018,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,0,0,0,0,0,0,0,0,0
NZ_CP007554.1,505931,505.931,0.575062522,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,0,0,1,0,0,0,0,0,0
NZ_CP008875.1,124256,124.256,0.5540658,non-mobilizable,4,3,1.0397207708399179,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,1,0,0,0,0,1,0,2,0
NZ_CP008888.1,3629,3.629,0.467070818,non-mobilizable,0,0,0.0,0,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus eurythermalis,0,0,0,0,0,0,0,0,0
NZ_CP009519.1,58133,58.133,0.345432027,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina vacuolata,0,0,0,0,0,0,0,0,0
NZ_CP009523.1,54381,54.381,0.343152939,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina vacuolata,0,0,0,0,0,0,0,0,0
NZ_CP009525.1,32371,32.371,0.343213921,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina barkeri_B,0,0,0,0,0,0,0,0,0
NZ_CP009527.1,41698,41.698,0.358458439,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina barkeri,0,0,0,0,0,0,0,0,0
NZ_CP009529.1,39586,39.586,0.357879048,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina barkeri,0,0,0,0,0,0,0,0,0
NZ_CP010530.1,405316,405.316,0.598515726,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,0,0,0,0,0,0,0,0,0
NZ_CP010531.1,133853,133.853,0.553891209,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,0,0,0,0,0,0,0,1,0
NZ_CP010532.1,116496,116.496,0.542035778,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,0,0,0,0,0,0,0,1,1
NZ_CP010533.1,104322,104.322,0.537489695,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,0,0,0,0,0,1,0,0,0
NZ_CP010534.1,41915,41.915,0.618179649,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,0,0,0,0,0,0,0,0,0
NZ_CP011565.1,124256,124.256,0.553961177,non-mobilizable,4,3,1.0397207708399179,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,1,0,0,0,0,1,0,2,0
NZ_CP011948.1,488062,488.062,0.645786806,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,0,0,0,0,0,0,0,0,0
NZ_CP011949.1,335881,335.881,0.668537369,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,0,0,0,0,0,0,0,0,0
NZ_CP011950.1,113655,113.655,0.528450134,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,0,0,0,0,0,0,0,0,0
NZ_CP011951.1,35465,35.465,0.539940787,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,0,0,0,0,0,0,0,0,0
NZ_CP014751.1,49106,49.106,0.519875372,non-mobilizable,1,1,-0.0,1,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus peptonophilus,0,0,0,0,0,1,0,0,0
NZ_CP014863.1,38045,38.045,0.439137863,non-mobilizable,0,0,0.0,0,p__Methanobacteriota_B,c__Thermococci,o__Thermococcales,f__Thermococcaceae,g__Thermococcus,s__Thermococcus profundus,0,0,0,0,0,0,0,0,0
NZ_CP019068.1,276813,276.813,0.61186794,non-mobilizable,4,4,1.3862943611198906,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halorientalis,s__Halorientalis sp001989615,0,0,0,0,0,2,0,1,1
NZ_CP019069.1,120563,120.563,0.651742243,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halorientalis,s__Halorientalis sp001989615,0,0,0,0,0,0,0,0,0
NZ_CP019156.1,129893,129.893,0.553101399,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula taiwanensis,0,0,0,0,0,0,0,1,0
NZ_CP019157.1,100322,100.322,0.556976536,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula taiwanensis,0,0,0,0,0,0,0,1,0
NZ_CP019286.1,216196,216.196,0.56411312,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halobiforma,s__Halobiforma lacisalsi,0,0,1,0,0,1,0,0,0
NZ_CP019287.1,3760,3.76,0.613297872,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halobiforma,s__Halobiforma lacisalsi,0,0,0,0,0,0,0,0,0
NZ_CP019328.1,202531,202.531,0.609748631,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,0,0,0,0,0,1,0,1,0
NZ_CP019329.1,180835,180.835,0.559714657,non-mobilizable,2,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,0,0,0,0,0,0,0,2,0
NZ_CP019330.1,54993,54.993,0.576637027,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,0,0,0,0,0,0,0,0,0
NZ_CP024045.1,101047,101.047,0.526606431,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,0,0,0,0,0,0,0,1,0
NZ_CP024046.1,166472,166.472,0.567032294,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,0,0,0,0,0,0,0,0,0
NZ_CP026310.1,237003,237.003,0.575507483,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,0,0,0,0,0,0,0,0,0
NZ_CP026311.1,198037,198.037,0.591833849,non-mobilizable,3,2,0.6365141682948128,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,0,1,0,0,0,2,0,0,0
NZ_CP026312.1,118877,118.877,0.588499037,non-mobilizable,2,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,0,0,0,0,0,2,0,0,0
NZ_CP026313.1,129442,129.442,0.578645262,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,0,0,0,0,0,0,0,0,1
NZ_CP026314.1,39196,39.196,0.632462496,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,0,0,0,0,0,0,0,0,0
NZ_CP027032.1,235493,235.493,0.569362996,non-mobilizable,3,3,1.0986122886681096,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,0,0,0,0,0,1,0,1,1
NZ_CP030065.1,300774,300.774,0.570168964,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum sp003990725,0,0,0,0,0,1,0,1,0
NZ_CP031147.1,225191,225.191,0.571781288,non-mobilizable,6,4,1.3296613488547582,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,2,1,0,0,0,0,0,3,0
NZ_CP031149.1,147062,147.062,0.566849356,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,0,0,0,0,0,1,0,0,0
NZ_CP031151.1,112309,112.309,0.581164466,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,0,0,0,0,0,0,0,0,1
NZ_CP031152.1,91783,91.783,0.588682,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,0,1,0,0,0,0,0,0,0
NZ_CP031306.1,827667,827.667,0.593688041,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum bangense,0,0,0,0,0,2,0,0,0
NZ_CP031307.1,213905,213.905,0.590364882,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum bangense,0,0,0,0,0,0,0,0,0
NZ_CP031308.1,146189,146.189,0.553851521,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum bangense,0,0,0,0,0,1,0,0,0
NZ_CP031309.1,115465,115.465,0.576659594,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum bangense,0,0,0,0,0,0,0,0,0
NZ_CP031312.1,397862,397.862,0.659032529,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halobellus,s__Halobellus limi,0,0,0,0,0,0,0,0,0
NZ_CP031313.1,207965,207.965,0.566946361,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halobellus,s__Halobellus limi,0,0,0,0,0,0,0,0,0
NZ_CP031314.1,185668,185.668,0.598476851,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halobellus,s__Halobellus limi,0,0,0,0,0,1,0,0,0
NZ_CP034146.1,41138,41.138,0.567674656,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus aerogenes,0,0,0,0,0,0,0,1,0
NZ_CP034344.1,267815,267.815,0.584407147,non-mobilizable,3,3,1.0986122886681096,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus salinarum,0,0,0,0,0,1,0,0,2
NZ_CP034690.1,13972,13.972,0.675994847,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum sp004114375,0,0,0,0,0,0,0,0,0
NZ_CP034691.1,117216,117.216,0.548184548,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum sp004114375,0,0,0,0,0,1,0,0,0
NZ_CP034693.1,163120,163.12,0.551256744,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum sp004114375,0,0,1,0,0,1,0,0,0
NZ_CP034941.1,606697,606.697,0.573815265,non-mobilizable,4,3,1.0397207708399179,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum ezzemoulense,1,0,0,0,0,1,0,2,0
NZ_CP034942.1,57310,57.31,0.546588728,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum ezzemoulense,0,0,0,0,0,0,0,0,0
NZ_CP035120.1,303357,303.357,0.642902587,non-mobilizable,2,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus pelagicus,0,0,0,0,0,0,0,2,0
NZ_CP035121.1,111878,111.878,0.544065857,non-mobilizable,2,2,0.6931471805599453,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus pelagicus,0,0,0,0,0,1,0,1,0
NZ_CP035122.1,58328,58.328,0.549873131,non-mobilizable,3,3,1.0986122886681096,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haladaptataceae,g__Halorussus,s__Halorussus pelagicus,0,0,2,0,0,0,0,1,0
NZ_CP038632.1,148406,148.406,0.605993019,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,0,0,0,0
NZ_CP038633.1,102666,102.666,0.564860811,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halobacterium,s__Halobacterium salinarum,0,0,0,0,0,0,0,0,0
NZ_CP039132.1,33451,33.451,0.55624645,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,0,0,0,0
NZ_CP039133.1,33297,33.297,0.542451272,non-mobilizable,1,1,-0.0,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,1,0,0,0
NZ_CP039134.1,155291,155.291,0.583304892,non-mobilizable,3,3,1.0986122886681096,1,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,2,0,0,1
NZ_CP039135.1,132675,132.675,0.544820049,non-mobilizable,0,0,0.0,0,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula marismortui,0,0,0,0,0,0,0,0,0
