sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)	predicted_mobility_conjscan	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
NC_012624.1	1	42245	0.361084152	52769fd84a63941587052c8297ec6e71	-	-	-	-	-	-	-	-	non-mobilizable	AF354	AP295	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_012890.1	1	2802	0.398643826	22f5e76a1c7b1d21d75ebeba530994fc	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_B	s__Archaeoglobus_B profundus
NC_013157.1	1	22190	0.327850383	d0c733132e2b9566a43f8f255e6dd1e3	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus fervens
NC_013201.1	1	221862	0.641515897	77089b1272f7b394d785681064b31f9e	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium mukohataei
NC_013408.1	1	10704	0.46319133	5f02f3376b696111e660579cee71871e	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus vulcanius
NC_013409.1	1	4704	0.300807823	aebffc539ac0eafe0d703a2b17b1329b	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus vulcanius
NC_013536.1	1	2272	0.67693662	456ce4a98a905b8048942bf59b5d292c	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
NC_013742.1	1	2801	0.398429132	a7fe3fe4eb904fb76f06cef2ad38467a	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_B	s__Archaeoglobus_B profundus
NC_013744.1	1	698495	0.611589202	742cbdd2a18d090fab307afb2fe49abf	-	-	-	-	-	-	-	-	non-mobilizable	AF428	AP376	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013745.1	1	413648	0.597537036	7e93f4da707ada5e284ee0fb4f88fb68	-	-	-	-	-	-	-	-	non-mobilizable	AG100	AQ117	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013746.1	1	180781	0.547297559	860237e65051780c59d4bc8af8058bd2	-	-	-	-	MPF_T	NC_013746_00233	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013747.1	1	171943	0.646086203	4e5f944edfdfb04e8b3d355e816a66a5	-	-	-	-	-	-	-	-	non-mobilizable	AF906	AP914	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013748.1	1	71062	0.599560947	8cc2fa99908c2621bf9a4a318bb0cf27	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013749.1	1	15815	0.581473285	32ba60e6df24419002022f9791596f25	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013770.1	1	26615	0.361412737	126af83e887563ee2fdee4527bdf4245	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_013777.1	1	5740	0.390418118	3780757b6e3a1e4ef9759c999008f246	-	-	-	-	-	-	-	-	non-mobilizable	AD412	AM968	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
NC_013888.1	1	12197	0.316471263	3b2dbb8aa3d00028d4a3e4bd5dd5d8c0	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus sp000025525
NC_013923.1	1	378348	0.600917674	19d8f60366ab1cea88a878c5b1d13158	-	-	-	-	-	-	-	-	non-mobilizable	AB554	AK390	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
NC_013924.1	1	254950	0.568232987	12b5a1c82cf32ddab42cd9b4cf334c5f	-	-	-	-	-	-	-	-	non-mobilizable	AG373	AQ404	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
NC_013925.1	1	58487	0.618992255	ee3a29697f9a4b9f704889f7cebc96a2	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
NC_013964.1	1	437906	0.655595036	d4597c44a14b2b81f90c854fda9a6e38	-	-	-	-	-	-	-	-	non-mobilizable	AB152	AJ761	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013965.1	1	6359	0.560622739	542b2d50de187496a4204df7f880234b	-	-	-	-	-	-	-	-	non-mobilizable	-	-	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013966.1	1	635786	0.616652459	1f9d9b7b7bc83dd49a7573facd3a128b	-	-	-	-	-	-	-	-	non-mobilizable	AB197	AJ868	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013968.1	1	85092	0.554987543	c56486afdb11ecb9810935cf9d39b60c	-	-	-	-	-	-	-	-	non-mobilizable	AF546	AP508	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_014115.1	1	13015	0.483672685	cf26225c7082e5c68d6e9bf6abb38950	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus nautili
NC_014254.1	1	163915	0.336363359	6a43f9cc653740ed7873099a1d42a4a8	-	-	-	-	-	-	-	-	non-mobilizable	-	-	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanohalobium	s__Methanohalobium evestigatum
NC_014298.1	1	406285	0.552656387	611a36a07f631c04b528117b6330d0c9	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1	1	363534	0.54163297	7eb4a3005cb497f2cecbf55cec08dee5	-	-	MOBP	NC_014299_00210	MPF_T	"NC_014299_00035,NC_014299_00211"	-	-	conjugative	AB152	AJ761	-	-	-	-	-	-	-		p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014300.1	1	44576	0.589016511	d235569ec374c30ebe76f0abc028d808	-	-	-	-	MPF_unknown	NC_014300_00024	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014301.1	1	44459	0.549112666	21c75b5b77f1f8ddca03c4a29594b198	-	-	-	-	MPF_T	NC_014299_00035	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014302.1	1	23727	0.476419269	38bab591705cf94c87010ba751a5aaf6	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014303.1	1	6951	0.605955978	44870ab1031233f8c6ed9684f4020c8d	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014409.1	1	4440	0.454054054	292eb74013b932c109053b2dfd3fb49d	rep_cluster_22	001489__NC_014409_00001	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter marburgensis
NC_014731.1	1	339010	0.57257603	ee51d682b6bce9e907dac5dae7c7afc2	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_014732.1	1	194834	0.588270014	5b5ce2ba5892732844648e4cd44c4e34	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_014735.1	1	362194	0.561017024	737a2cb4b6c3b43d4935bec4d78d9ac1	-	-	-	-	-	-	-	-	non-mobilizable	AB152	AJ761	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_014736.1	1	210350	0.564559068	b145abda30e1030ce20b643ef106d18e	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_014737.1	1	17535	0.646478472	587c72ee54d9783011d9aac36d6f0eb0	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_015430.1	1	18019	0.438814585	a18405e75af7ced2c5eadb32f96503e6	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix soehngenii
NC_015471.1	1	54159	0.383223472	09a825fe4466686223871ba8350868d7	-	-	-	-	-	-	-	-	non-mobilizable	AD705	AN335	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus_B	s__Thermococcus_B barophilus
NC_015632.1	1	14930	0.2683858	fc109236fe6981dc007b6b31fceba448	rep_cluster_20	001436__NC_015632_00002	-	-	-	-	-	-	non-mobilizable	AH080	AR136	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanothermococcus_A	s__Methanothermococcus_A okinawensis
NC_015658.1	1	436718	0.615321558	b84a7d0eee83dadd52e093457b806048	-	-	-	-	-	-	-	-	non-mobilizable	AF428	AP376	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_015659.1	1	68763	0.621511569	176dee9e474c9e012273e98cecc42091	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_015667.1	1	181778	0.589972384	89acadde559b0259b2b31e13a27380b9	-	-	-	-	MPF_T	"NC_002608_00127,NC_015667_00008"	-	-	non-mobilizable	AG151	AQ172	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_015944.1	1	405816	0.598872395	9926c8ab78a52a9446307525db50f1f3	-	-	-	-	-	-	-	-	non-mobilizable	AG653	AQ704	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NC_016049.1	1	7646	0.305388438	52faff748c26291258ab932d7066f447	-	-	-	-	-	-	-	-	non-mobilizable	AC799	AM138	-	-	-	-	-	-	-	non-mobilizable	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
NC_016637.1	1	11991	0.539738137	b061a15e7faf2e794c2ffbed114708a0	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_A	s__Methanothrix_A harundinacea_E
NC_017457.1	1	100258	0.438568493	5cf81097ad2d41cdd3e4ebe4bca0753e	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_017458.1	1	6056	0.520310436	af607ead68af83961adece1d6befcde0	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_017460.1	1	6129	0.51052374	53e0d930321843aee5fee7dcc9082011	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_017942.1	1	129210	0.575574646	c2107c1778df41e19af03c42774f4976	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NC_017943.1	1	321908	0.5789853	b07566aa3ec671487eaf4574644091e8	-	-	-	-	-	-	-	-	non-mobilizable	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NC_017944.1	1	504705	0.575102287	2368f8de37e3640cc93e21b8713e07ee	-	-	-	-	-	-	-	-	non-mobilizable	AC837	AM187	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NC_018225.1	1	95989	0.586046318	82a94084e3c10fd1b716787ae315e4d9	-	-	-	-	MPF_T	"NC_002608_00127,NC_002608_00126"	-	-	non-mobilizable	AC364	AL532	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema gari
NC_019285.1	1	10795	0.610004632	70c49f9c91bcb3dcfd3a56c27234052a	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_019963.1	1	275821	0.58344361	3e3a442473452f9df28ef0a7e0b3031e	-	-	-	-	MPF_T	"NC_015955_00255,NC_019963_00206,NC_019963_00204"	-	-	non-mobilizable	AF049	AO952	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019967.1	1	287800	0.570128562	fb2c4c530d5d2f06abd87296680fe67e	-	-	-	-	MPF_T	NC_019963_00206	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019972.1	1	285109	0.354173316	5929bfcb1d8f17913d35ed2e876960a9	rep_cluster_57	001968__NC_019972_00156	-	-	-	-	-	-	non-mobilizable	AD256	AM735	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanomethylovorans	s__Methanomethylovorans hollandica
NC_019975.1	1	12939	0.548419507	038122309f016705428fe06d35d4bd6f	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronococcus	s__Natronococcus occultus
NC_019976.1	1	287963	0.613120436	7c1ee53b05265672c460b5aa5e69f812	-	-	-	-	-	-	-	-	non-mobilizable	AE834	AO696	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronococcus	s__Natronococcus occultus
NC_021913.1	1	330369	0.574094422	bcbbcbb89b1590cd3c185ff83a25d89b	"rep_cluster_15,rep_cluster_31"	"000836__NC_021913_00326,001620__NC_021913_00176"	-	-	-	-	-	-	non-mobilizable	AG189	AQ210	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus tiamatea
NC_021914.1	1	27975	0.395460232	0d421bc70f5471a76c70fc996cab4ca8	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
NC_023011.1	1	125764	0.553139213	a659fafec23633b2d63e416a42176544	-	-	-	-	MPF_T	NC_006393_00092	-	-	non-mobilizable	AG700	AQ754	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NC_025188.1	1	13053	0.663755459	0b1e4dc646bfb171bbfe41c1ab4f895d	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp000296615
NZ_AP011527.1	1	12084	0.289142668	3e01c14ea40ad15acc92d45d7a3c8760	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanococcus	s__Methanococcus maripaludis
NZ_AP011953.1	1	11015	0.425056741	74a2f004215af8f245c9a2b41113aa2f	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter sp000828575
NZ_AP017559.1	1	138020	0.53203159	7d0c1ef906fe79a0625bc352187e1b60	-	-	-	-	-	-	-	-	non-mobilizable	AF003	AO900	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halopenitus	s__Halopenitus persicus_A
NZ_AP017570.1	1	141523	0.564713863	9491b753558598d614457ff007e32e3b	-	-	-	-	MPF_T	"NC_002608_00127,NC_002608_00126"	-	-	non-mobilizable	AE227	AN960	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum trapanicum_A
NZ_AP017571.1	1	103081	0.577128666	8cc9fd48123c000143749b7879c83447	-	-	-	-	MPF_T	NC_002608_00127	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum trapanicum_A
NZ_AP025699.1	1	22428	0.38407348	111dc984fb00cb55e2bd7a497d199c6c	-	-	-	-	-	-	-	-	non-mobilizable	AG554	AQ601	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae_A	g__Methanothermobacter_A	s__Methanothermobacter_A tenebrarum
NZ_CP007056.1	1	573680	0.59826384	f1aafafb5cbfea223745fb27e9cf4d99	-	-	-	-	-	-	-	-	non-mobilizable	AH111	AR167	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola larsenii
NZ_CP007057.1	1	464581	0.569696135	bf098b74493a298919b26824336f5c51	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola larsenii
NZ_CP007058.1	1	172663	0.591921836	5e4450d4c069b9e7b37dab89eeb2831b	-	-	-	-	-	-	-	-	non-mobilizable	AH462	AR518	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola larsenii
NZ_CP007059.1	1	130926	0.594236439	f8f65b8dd34c32a907a907f08015ce45	-	-	-	-	-	-	-	-	non-mobilizable	AF954	AP963	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halostagnicola	s__Halostagnicola larsenii
NZ_CP007552.1	1	131983	0.572703018	e3dc5093149c91d782d954b83f83f6f7	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NZ_CP007554.1	1	505931	0.575062522	68f9cc85ae02dbeaa2394f9349814045	-	-	-	-	-	-	-	-	non-mobilizable	AC837	AM187	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NZ_CP008875.1	1	124256	0.5540658	f8d30fa77fa01cb2e4df8311e85fc632	-	-	-	-	MPF_T	"NC_002608_00127,NC_002608_00126"	-	-	non-mobilizable	AB410	AK180	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halanaeroarchaeum	s__Halanaeroarchaeum sulfurireducens
NZ_CP008888.1	1	3629	0.467070818	3aa1561c561100b94f9ea9e427da793a	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus eurythermalis
NZ_CP009519.1	1	58133	0.345432027	93e48d03afda4b9a1483dac81a16abf0	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina vacuolata
NZ_CP009523.1	1	54381	0.343152939	08df339c2002153cea24908bc18bcc21	-	-	-	-	-	-	-	-	non-mobilizable	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina vacuolata
NZ_CP009525.1	1	32371	0.343213921	de415ed5fbe798809cf116f512be8a82	-	-	-	-	-	-	-	-	non-mobilizable	AB806	AK750	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina barkeri_B
NZ_CP009527.1	1	41698	0.358458439	2dbfa5bbd182dad8d2c255d8ceb70218	-	-	-	-	-	-	-	-	non-mobilizable	AC496	AL707	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina barkeri
NZ_CP009529.1	1	39586	0.357879048	2a55310021c0548cc8b087b3fb74f404	-	-	-	-	-	-	-	-	non-mobilizable	AC496	AL707	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanosarcina	s__Methanosarcina barkeri
