qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	query_coverage	source_plasmid	target_category	source_phylum	source_family	target_phylum	target_family	target_plasmid
NC_006392_1_3__spacer47	NZ_CP073368.1	100.0	35	0	0	1	35	412473	412439	3.23e-11	69.9	35	540110	100.0	NC_006392_1_3	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__Haloarculaceae	NZ_CP073368.1
NC_012030_1_1__spacer30	OP630576	100.0	35	0	0	1	35	10108	10074	3.23e-11	69.9	35	28605	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630576
NC_012030_1_1__spacer30	OP630575	100.0	35	0	0	1	35	1835	1801	3.23e-11	69.9	35	66249	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer30	OP630575	100.0	35	0	0	1	35	39828	39794	3.23e-11	69.9	35	66249	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer30	OP630574	100.0	35	0	0	1	35	10171	10137	3.23e-11	69.9	35	37702	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630574
NC_012030_1_1__spacer72	OP630575	100.0	35	0	0	1	35	25446	25412	3.23e-11	69.9	35	66249	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer73	OP630576	100.0	32	0	0	3	34	10540	10509	1.87e-09	63.9	34	28605	94.11764705882352	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630576
NC_012030_1_1__spacer73	OP630575	100.0	32	0	0	3	34	2267	2236	1.87e-09	63.9	34	66249	94.11764705882352	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer73	OP630575	100.0	32	0	0	3	34	40260	40229	1.87e-09	63.9	34	66249	94.11764705882352	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer73	OP630574	100.0	32	0	0	3	34	10603	10572	1.87e-09	63.9	34	37702	94.11764705882352	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630574
NC_012030_1_1__spacer79	CP007061.1	100.0	36	0	0	1	36	214763	214798	8.65e-12	71.9	36	315592	100.0	NC_012030_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Halobacteriaceae	CP007061.1
NC_012030_1_1__spacer96	OP630576	100.0	35	0	0	1	35	6841	6807	3.23e-11	69.9	35	28605	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630576
NC_012030_1_1__spacer96	OP630575	100.0	35	0	0	1	35	36561	36527	3.23e-11	69.9	35	66249	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer96	OP630574	100.0	35	0	0	1	35	6904	6870	3.23e-11	69.9	35	37702	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630574
NC_012030_1_1__spacer98	OP630576	100.0	36	0	0	1	36	16177	16142	8.65e-12	71.9	36	28605	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630576
NC_012030_1_1__spacer98	OP630575	100.0	36	0	0	1	36	60230	60195	8.65e-12	71.9	36	66249	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer98	OP630574	100.0	36	0	0	1	36	35496	35461	8.65e-12	71.9	36	37702	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630574
NC_012030_1_1__spacer110	OP630574	100.0	36	0	0	1	36	17315	17280	8.65e-12	71.9	36	37702	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630574
NC_012030_1_1__spacer113	OP630575	100.0	35	0	0	1	35	14286	14320	3.23e-11	69.9	35	66249	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer113	OP630575	100.0	35	0	0	1	35	48460	48494	3.23e-11	69.9	35	66249	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer113	OP630574	100.0	35	0	0	1	35	22776	22810	3.23e-11	69.9	35	37702	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630574
NC_012030_1_1__spacer113	OP630576	100.0	35	0	0	1	35	92	58	3.23e-11	69.9	35	28605	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630576
NC_012030_1_1__spacer113	OP630576	100.0	35	0	0	1	35	25880	25846	3.23e-11	69.9	35	28605	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630576
NC_012030_1_1__spacer113	OP630576	100.0	35	0	0	1	35	28570	28536	3.23e-11	69.9	35	28605	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630576
NC_012030_1_1__spacer119	OP630576	100.0	34	0	0	1	34	15044	15011	1.2e-10	67.9	34	28605	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630576
NC_012030_1_1__spacer119	OP630575	100.0	34	0	0	1	34	59097	59064	1.2e-10	67.9	34	66249	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630575
NC_012030_1_1__spacer119	OP630574	100.0	34	0	0	1	34	34363	34330	1.2e-10	67.9	34	37702	100.0	NC_012030_1_1	virus	p__Halobacteriota	f__Haloferacaceae			OP630574
NC_012030_1_5__spacer2	OP630575	100.0	36	0	0	1	36	64699	64734	8.65e-12	71.9	36	66249	100.0	NC_012030_1_5	virus					OP630575
NC_012030_1_5__spacer2	OP630574	100.0	36	0	0	1	36	2263	2298	8.65e-12	71.9	36	37702	100.0	NC_012030_1_5	virus					OP630574
NC_012030_1_5__spacer8	OP630576	100.0	36	0	0	1	36	13408	13443	8.65e-12	71.9	36	28605	100.0	NC_012030_1_5	virus					OP630576
NC_012030_1_5__spacer8	OP630575	100.0	36	0	0	1	36	23254	23289	8.65e-12	71.9	36	66249	100.0	NC_012030_1_5	virus					OP630575
NC_012030_1_5__spacer8	OP630575	100.0	36	0	0	1	36	57461	57496	8.65e-12	71.9	36	66249	100.0	NC_012030_1_5	virus					OP630575
NC_012030_1_5__spacer8	OP630574	100.0	36	0	0	1	36	32727	32762	8.65e-12	71.9	36	37702	100.0	NC_012030_1_5	virus					OP630574
NC_012030_1_5__spacer20	OP630575	100.0	35	0	0	1	35	34439	34473	3.23e-11	69.9	35	66249	100.0	NC_012030_1_5	virus					OP630575
NC_012030_1_5__spacer20	OP630574	100.0	35	0	0	1	35	4782	4816	3.23e-11	69.9	35	37702	100.0	NC_012030_1_5	virus					OP630574
NC_012030_1_5__spacer38	OP630575	100.0	37	0	0	1	37	32160	32124	2.31e-12	73.8	37	66249	100.0	NC_012030_1_5	virus					OP630575
NC_012030_1_5__spacer39	OP630576	100.0	37	0	0	1	37	4370	4406	2.31e-12	73.8	37	28605	100.0	NC_012030_1_5	virus					OP630576
NC_013966_1_2__spacer1	PP151251	97.143	35	1	0	1	35	15030	15064	7.87e-09	61.9	35	24864	100.0	NC_013966_1_2	virus	p__Halobacteriota	f__Haloferacaceae			PP151251
NC_013966_1_2__spacer2	PP151251	100.0	33	0	0	1	33	15864	15896	4.45e-10	65.9	33	24864	100.0	NC_013966_1_2	virus	p__Halobacteriota	f__Haloferacaceae			PP151251
NC_013966_1_2__spacer10	NZ_CP104743.1	100.0	33	0	0	1	33	263143	263175	4.45e-10	65.9	33	285035	100.0	NC_013966_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP104743.1
NC_017944_1_2__spacer0	NZ_CP007554.1	100.0	38	0	0	1	38	196059	196022	6.16e-13	75.8	38	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer1	NZ_CP007554.1	100.0	36	0	0	1	36	195991	195956	8.65e-12	71.9	36	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer2	NZ_CP007554.1	100.0	36	0	0	1	36	195925	195890	8.65e-12	71.9	36	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer3	NZ_CP007554.1	100.0	38	0	0	1	38	195859	195822	6.16e-13	75.8	38	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer4	NZ_CP007554.1	100.0	36	0	0	1	36	195791	195756	8.65e-12	71.9	36	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer5	NZ_CP007554.1	100.0	35	0	0	1	35	195725	195691	3.23e-11	69.9	35	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer5	NZ_CP007554.1	100.0	32	0	0	1	32	183904	183873	1.99e-09	63.9	35	505931	91.42857142857144	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer6	NZ_CP007554.1	100.0	35	0	0	1	35	195660	195626	3.23e-11	69.9	35	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer7	NZ_CP007554.1	100.0	35	0	0	1	35	195595	195561	3.23e-11	69.9	35	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer8	NZ_CP007554.1	100.0	37	0	0	1	37	195530	195494	2.31e-12	73.8	37	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_2__spacer9	NZ_CP007554.1	100.0	35	0	0	1	35	195463	195429	3.23e-11	69.9	35	505931	100.0	NC_017944_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer0	NZ_CP007554.1	100.0	35	0	0	1	35	185224	185190	3.23e-11	69.9	35	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer1	NZ_CP007554.1	100.0	37	0	0	1	37	185159	185123	2.31e-12	73.8	37	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer2	NZ_CP007554.1	100.0	35	0	0	1	35	185092	185058	3.23e-11	69.9	35	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer3	NZ_CP007554.1	100.0	34	0	0	1	34	185027	184994	1.2e-10	67.9	34	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer4	NZ_CP007554.1	100.0	37	0	0	1	37	184963	184927	2.31e-12	73.8	37	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer5	NZ_CP007554.1	100.0	36	0	0	1	36	184896	184861	8.65e-12	71.9	36	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer6	NZ_CP007554.1	100.0	36	0	0	1	36	184830	184795	8.65e-12	71.9	36	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer7	NZ_CP007554.1	100.0	36	0	0	1	36	184764	184729	8.65e-12	71.9	36	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer8	NZ_CP007554.1	100.0	34	0	0	1	34	184698	184665	1.2e-10	67.9	34	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer9	NZ_CP007554.1	100.0	36	0	0	1	36	184634	184599	8.65e-12	71.9	36	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer10	NZ_CP007554.1	100.0	36	0	0	1	36	184568	184533	8.65e-12	71.9	36	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer11	NZ_CP007554.1	100.0	39	0	0	1	39	184502	184464	1.64e-13	77.8	39	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer12	NZ_CP007554.1	100.0	38	0	0	1	38	184433	184396	6.16e-13	75.8	38	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer13	NZ_CP007554.1	100.0	37	0	0	1	37	184365	184329	2.31e-12	73.8	37	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer14	NZ_CP007554.1	100.0	34	0	0	1	34	184298	184265	1.2e-10	67.9	34	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer15	NZ_CP007554.1	100.0	38	0	0	1	38	184234	184197	6.16e-13	75.8	38	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer16	NZ_CP007554.1	100.0	36	0	0	1	36	184166	184131	8.65e-12	71.9	36	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer17	NZ_CP007554.1	100.0	38	0	0	1	38	184100	184063	6.16e-13	75.8	38	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer18	NZ_CP007554.1	100.0	34	0	0	1	34	184032	183999	1.2e-10	67.9	34	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer19	NZ_CP007554.1	100.0	34	0	0	1	34	183968	183935	1.2e-10	67.9	34	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer20	NZ_CP007554.1	100.0	35	0	0	1	35	183904	183870	3.23e-11	69.9	35	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer20	NZ_CP007554.1	100.0	32	0	0	1	32	195725	195694	1.99e-09	63.9	35	505931	91.42857142857144	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NC_017944_1_3__spacer21	NZ_CP007554.1	100.0	35	0	0	1	35	183839	183805	3.23e-11	69.9	35	505931	100.0	NC_017944_1_3	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NZ_CP007554.1
NZ_CP007554_1_1__spacer0	NC_017944.1	100.0	35	0	0	1	35	345971	345937	3.23e-11	69.9	35	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer1	NC_017944.1	100.0	35	0	0	1	35	345906	345872	3.23e-11	69.9	35	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer1	NC_017944.1	100.0	32	0	0	4	35	334082	334051	1.99e-09	63.9	35	504705	91.42857142857144	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer2	NC_017944.1	100.0	34	0	0	1	34	345841	345808	1.2e-10	67.9	34	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer3	NC_017944.1	100.0	34	0	0	1	34	345777	345744	1.2e-10	67.9	34	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer4	NC_017944.1	100.0	38	0	0	1	38	345713	345676	6.16e-13	75.8	38	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer5	NC_017944.1	100.0	36	0	0	1	36	345645	345610	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer6	NC_017944.1	100.0	38	0	0	1	38	345579	345542	6.16e-13	75.8	38	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer7	NC_017944.1	100.0	34	0	0	1	34	345511	345478	1.2e-10	67.9	34	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer8	NC_017944.1	100.0	37	0	0	1	37	345447	345411	2.31e-12	73.8	37	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer9	NC_017944.1	100.0	38	0	0	1	38	345380	345343	6.16e-13	75.8	38	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer10	NC_017944.1	100.0	39	0	0	1	39	345312	345274	1.64e-13	77.8	39	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer11	NC_017944.1	100.0	36	0	0	1	36	345243	345208	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer12	NC_017944.1	100.0	36	0	0	1	36	345177	345142	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer13	NC_017944.1	100.0	34	0	0	1	34	345111	345078	1.2e-10	67.9	34	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer14	NC_017944.1	100.0	36	0	0	1	36	345047	345012	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer15	NC_017944.1	100.0	36	0	0	1	36	344981	344946	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer16	NC_017944.1	100.0	36	0	0	1	36	344915	344880	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer17	NC_017944.1	100.0	37	0	0	1	37	344849	344813	2.31e-12	73.8	37	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer18	NC_017944.1	100.0	34	0	0	1	34	344782	344749	1.2e-10	67.9	34	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer19	NC_017944.1	100.0	35	0	0	1	35	344718	344684	3.23e-11	69.9	35	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer20	NC_017944.1	100.0	37	0	0	1	37	344653	344617	2.31e-12	73.8	37	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_1__spacer21	NC_017944.1	100.0	35	0	0	1	35	344586	344552	3.23e-11	69.9	35	504705	100.0	NZ_CP007554_1_1	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer0	NC_017944.1	100.0	35	0	0	1	35	334347	334313	3.23e-11	69.9	35	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer1	NC_017944.1	100.0	37	0	0	1	37	334282	334246	2.31e-12	73.8	37	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer2	NC_017944.1	100.0	35	0	0	1	35	334215	334181	3.23e-11	69.9	35	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer3	NC_017944.1	100.0	35	0	0	1	35	334150	334116	3.23e-11	69.9	35	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer4	NC_017944.1	100.0	35	0	0	1	35	334085	334051	3.23e-11	69.9	35	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer4	NC_017944.1	100.0	32	0	0	4	35	345903	345872	1.99e-09	63.9	35	504705	91.42857142857144	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer5	NC_017944.1	100.0	36	0	0	1	36	334020	333985	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer6	NC_017944.1	100.0	38	0	0	1	38	333954	333917	6.16e-13	75.8	38	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer7	NC_017944.1	100.0	36	0	0	1	36	333886	333851	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer8	NC_017944.1	100.0	36	0	0	1	36	333820	333785	8.65e-12	71.9	36	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP007554_1_2__spacer9	NC_017944.1	100.0	38	0	0	1	38	333754	333717	6.16e-13	75.8	38	504705	100.0	NZ_CP007554_1_2	plasmid	p__Halobacteriota	f__Haloferacaceae	p__Halobacteriota	f__Haloferacaceae	NC_017944.1
NZ_CP054709_1_2__spacer5	NZ_CP054708.1	100.0	32	0	0	1	32	389590	389621	1.99e-09	63.9	35	602938	91.42857142857144	NZ_CP054709_1_2	plasmid	p__Halobacteriota	f__Halobacteriaceae	p__Halobacteriota	f__Halobacteriaceae	NZ_CP054708.1
NZ_CP073368_1_6__spacer3	NC_013758	97.143	35	1	0	1	35	7840	7806	7.87e-09	61.9	35	8082	100.0	NZ_CP073368_1_6	virus	p__Halobacteriota	f__Haloarculaceae			NC_013758
NZ_CP073368_1_6__spacer9	NC_062757	97.222	36	1	0	1	36	32594	32559	2.11e-09	63.9	36	42293	100.0	NZ_CP073368_1_6	virus	p__Halobacteriota	f__Haloarculaceae			NC_062757
NZ_CP073368_1_6__spacer13	NZ_CP039137.1	100.0	36	0	0	1	36	362861	362826	8.65e-12	71.9	36	410547	100.0	NZ_CP073368_1_6	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__Haloarculaceae	NZ_CP039137.1
NZ_CP073368_1_6__spacer13	NZ_CP073369.1	100.0	36	0	0	1	36	222756	222791	8.65e-12	71.9	36	387656	100.0	NZ_CP073368_1_6	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__Haloarculaceae	NZ_CP073369.1
NZ_CP073368_1_6__spacer31	NC_006392.1	100.0	34	0	0	1	34	49820	49787	1.2e-10	67.9	34	50060	100.0	NZ_CP073368_1_6	plasmid	p__Halobacteriota	f__Haloarculaceae	p__Halobacteriota	f__Haloarculaceae	NC_006392.1
