replicon,protein,category,description,phylum,gtdb_phylum,gtdb_class,gtdb_order,gtdb_family,gtdb_genus,gtdb_species,phylum_clean,family_clean,new_category
NZ_CP007057.1,NZ_CP007057.1_313,integrase,"COG1961 Site-specific recombinases, DNA invertase Pin homologs",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,Halobacteriota,Natrialbaceae,Integrase
NZ_CP007057.1,NZ_CP007057.1_418,lysis,"Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,Halobacteriota,Natrialbaceae,Metabolic enzymes
NZ_CP007058.1,NZ_CP007058.1_66,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,Halobacteriota,Natrialbaceae,Integrase
NZ_CP007059.1,NZ_CP007059.1_54,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,Halobacteriota,Natrialbaceae,Osmolyte transport
NZ_CP007059.1,NZ_CP007059.1_68,virion,COG3654 Prophage maintenance system killer protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halostagnicola,s__Halostagnicola larsenii,Halobacteriota,Natrialbaceae,Prophage maintenance
NZ_CP007552.1,NZ_CP007552.1_10,virion,COG3654 Prophage maintenance system killer protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Prophage maintenance
NZ_CP007552.1,NZ_CP007552.1_132,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Integrase
NZ_CP007552.1,NZ_CP007552.1_136,virion,COG3654 Prophage maintenance system killer protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Prophage maintenance
NZ_CP007552.1,NZ_CP007552.1_142,lysis,"amino acids such as valine, to avoid such errors it has two additional distinct tRNA(Ile)-dependent editing activities. One activity is designated as 'pretransfer' editing and involves the hydrolysis of activated Val-AMP. The other activity is designated 'posttransfer' editing and involves deacylation of mischarged Val-tRNA(Ile)",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Metabolic enzymes
NZ_CP007554.1,NZ_CP007554.1_48,lysis,Peptidase M10A and M12B matrixin and adamalysin,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Lysis & membrane
NZ_CP007554.1,NZ_CP007554.1_53,lysis,Cadherin repeats.,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Lysis & membrane
NZ_CP007554.1,NZ_CP007554.1_356,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Integrase
NZ_CP007554.1,NZ_CP007554.1_402,integrase,Phage integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Integrase
NZ_CP007554.1,NZ_CP007554.1_411,lysis,Peptidase M10A and M12B matrixin and adamalysin,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Lysis & membrane
NZ_CP007554.1,NZ_CP007554.1_438,lysis,Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax mediterranei,Halobacteriota,Haloferacaceae,Osmolyte transport
NZ_CP008875.1,NZ_CP008875.1_15,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Integrase
NZ_CP008875.1,NZ_CP008875.1_23,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Integrase
NZ_CP008875.1,NZ_CP008875.1_62,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Phage replication
NZ_CP008875.1,NZ_CP008875.1_79,lysis,Catalyzes the hydrolysis of glutamine to glutamate and ammonia as part of the biosynthesis of pyridoxal 5'-phosphate. The resulting ammonia molecule is channeled to the active site of PdxS,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Metabolic enzymes
NZ_CP008875.1,NZ_CP008875.1_90,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Integrase
NZ_CP009519.1,NZ_CP009519.1_21,integrase,DNA integration,p__Halobacteriota,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina vacuolata,Halobacteriota,Methanosarcinaceae,Integrase
NZ_CP009523.1,NZ_CP009523.1_5,integrase,DNA integration,p__Halobacteriota,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina vacuolata,Halobacteriota,Methanosarcinaceae,Integrase
NZ_CP009525.1,NZ_CP009525.1_1,integrase,DNA integration,p__Halobacteriota,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina barkeri_B,Halobacteriota,Methanosarcinaceae,Integrase
NZ_CP009527.1,NZ_CP009527.1_9,integrase,DNA integration,p__Halobacteriota,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina barkeri,Halobacteriota,Methanosarcinaceae,Integrase
NZ_CP009529.1,NZ_CP009529.1_21,integrase,DNA integration,p__Halobacteriota,p__Halobacteriota,c__Methanosarcinia,o__Methanosarcinales,f__Methanosarcinaceae,g__Methanosarcina,s__Methanosarcina barkeri,Halobacteriota,Methanosarcinaceae,Integrase
NZ_CP010530.1,NZ_CP010530.1_10,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Osmolyte transport
NZ_CP010530.1,NZ_CP010530.1_128,lysis,"Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Metabolic enzymes
NZ_CP010530.1,NZ_CP010530.1_189,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Integrase
NZ_CP010530.1,NZ_CP010530.1_340,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Osmolyte transport
NZ_CP010530.1,NZ_CP010530.1_343,lysis,"Catalyzes the oxidation of 5,10- methylenetetrahydrofolate to 5,10-methenyltetrahydrofolate and then the hydrolysis of 5,10-methenyltetrahydrofolate to 10- formyltetrahydrofolate",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Metabolic enzymes
NZ_CP010531.1,NZ_CP010531.1_26,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Integrase
NZ_CP010531.1,NZ_CP010531.1_64,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Phage replication
NZ_CP010532.1,NZ_CP010532.1_39,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Integrase
NZ_CP010533.1,NZ_CP010533.1_9,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Integrase
NZ_CP010533.1,NZ_CP010533.1_17,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Integrase
NZ_CP010534.1,NZ_CP010534.1_21,packaging,chromosome segregation,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,DNA packaging
NZ_CP010534.1,NZ_CP010534.1_22,packaging,Phage portal protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,DNA packaging
NZ_CP010534.1,NZ_CP010534.1_24,virion,Putative phage serine protease XkdF,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula hispanica,Halobacteriota,Haloarculaceae,Lysis & membrane
NZ_CP011565.1,NZ_CP011565.1_15,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Integrase
NZ_CP011565.1,NZ_CP011565.1_23,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Integrase
NZ_CP011565.1,NZ_CP011565.1_62,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Phage replication
NZ_CP011565.1,NZ_CP011565.1_79,lysis,Catalyzes the hydrolysis of glutamine to glutamate and ammonia as part of the biosynthesis of pyridoxal 5'-phosphate. The resulting ammonia molecule is channeled to the active site of PdxS,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Metabolic enzymes
NZ_CP011565.1,NZ_CP011565.1_90,integrase,Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Halobacteriaceae,g__Halanaeroarchaeum,s__Halanaeroarchaeum sulfurireducens,Halobacteriota,Halobacteriaceae,Integrase
NZ_CP011948.1,NZ_CP011948.1_12,tail,T4-like virus tail tube protein gp19,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Tail & baseplate
NZ_CP011948.1,NZ_CP011948.1_13,tail,T4-like virus tail tube protein gp19,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Tail & baseplate
NZ_CP011948.1,NZ_CP011948.1_81,virion,COG3654 Prophage maintenance system killer protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Prophage maintenance
NZ_CP011948.1,NZ_CP011948.1_100,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Osmolyte transport
NZ_CP011948.1,NZ_CP011948.1_131,lysis,COG3486 Lysine ornithine N-monooxygenase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Metabolic enzymes
NZ_CP011948.1,NZ_CP011948.1_391,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Osmolyte transport
NZ_CP011949.1,NZ_CP011949.1_182,lysis,Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Metabolic enzymes
NZ_CP011949.1,NZ_CP011949.1_260,integrase,Phage integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Integrase
NZ_CP011949.1,NZ_CP011949.1_275,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Integrase
NZ_CP011950.1,NZ_CP011950.1_49,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloferax,s__Haloferax gibbonsii,Halobacteriota,Haloferacaceae,Integrase
NZ_CP019068.1,NZ_CP019068.1_9,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halorientalis,s__Halorientalis sp001989615,Halobacteriota,Haloarculaceae,Integrase
NZ_CP019068.1,NZ_CP019068.1_256,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halorientalis,s__Halorientalis sp001989615,Halobacteriota,Haloarculaceae,Integrase
NZ_CP019069.1,NZ_CP019069.1_85,integrase,"Site-specific tyrosine recombinase, which acts by catalyzing the cutting and rejoining of the recombining DNA molecules",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Halorientalis,s__Halorientalis sp001989615,Halobacteriota,Haloarculaceae,Integrase
NZ_CP019156.1,NZ_CP019156.1_5,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula taiwanensis,Halobacteriota,Haloarculaceae,Integrase
NZ_CP019157.1,NZ_CP019157.1_73,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloarculaceae,g__Haloarcula,s__Haloarcula taiwanensis,Halobacteriota,Haloarculaceae,Integrase
NZ_CP019286.1,NZ_CP019286.1_23,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halobiforma,s__Halobiforma lacisalsi,Halobacteriota,Natrialbaceae,Integrase
NZ_CP019286.1,NZ_CP019286.1_192,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Halobiforma,s__Halobiforma lacisalsi,Halobacteriota,Natrialbaceae,Integrase
NZ_CP019328.1,NZ_CP019328.1_66,lysis,Peptidase M10A and M12B matrixin and adamalysin,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,Halobacteriota,Natrialbaceae,Lysis & membrane
NZ_CP019328.1,NZ_CP019328.1_172,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,Halobacteriota,Natrialbaceae,Integrase
NZ_CP019328.1,NZ_CP019328.1_181,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,Halobacteriota,Natrialbaceae,Integrase
NZ_CP019329.1,NZ_CP019329.1_45,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,Halobacteriota,Natrialbaceae,Integrase
NZ_CP019330.1,NZ_CP019330.1_25,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,Halobacteriota,Natrialbaceae,Integrase
NZ_CP019330.1,NZ_CP019330.1_51,integrase,Phage integrase family,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum daqingense,Halobacteriota,Natrialbaceae,Integrase
NZ_CP024045.1,NZ_CP024045.1_7,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,Halobacteriota,Natrialbaceae,Integrase
NZ_CP024045.1,NZ_CP024045.1_30,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,Halobacteriota,Natrialbaceae,Phage replication
NZ_CP024046.1,NZ_CP024046.1_8,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,Halobacteriota,Natrialbaceae,Integrase
NZ_CP024046.1,NZ_CP024046.1_120,lysis,"Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,Halobacteriota,Natrialbaceae,Metabolic enzymes
NZ_CP026310.1,NZ_CP026310.1_79,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Phage replication
NZ_CP026310.1,NZ_CP026310.1_200,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Integrase
NZ_CP026311.1,NZ_CP026311.1_36,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Integrase
NZ_CP026311.1,NZ_CP026311.1_95,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Integrase
NZ_CP026311.1,NZ_CP026311.1_201,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Phage replication
NZ_CP026312.1,NZ_CP026312.1_11,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Phage replication
NZ_CP026312.1,NZ_CP026312.1_80,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Integrase
NZ_CP026313.1,NZ_CP026313.1_6,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Integrase
NZ_CP026313.1,NZ_CP026313.1_7,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Integrase
NZ_CP026314.1,NZ_CP026314.1_11,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Salinigranum,s__Salinigranum rubrum,Halobacteriota,Haloferacaceae,Integrase
NZ_CP027032.1,NZ_CP027032.1_71,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,Halobacteriota,Natrialbaceae,Integrase
NZ_CP027032.1,NZ_CP027032.1_194,lysis,"Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natrarchaeobaculum,s__Natrarchaeobaculum sulfurireducens,Halobacteriota,Natrialbaceae,Metabolic enzymes
NZ_CP030065.1,NZ_CP030065.1_281,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Halorubrum,s__Halorubrum sp003990725,Halobacteriota,Haloferacaceae,Integrase
NZ_CP031147.1,NZ_CP031147.1_44,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Integrase
NZ_CP031147.1,NZ_CP031147.1_173,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Phage replication
NZ_CP031149.1,NZ_CP031149.1_96,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Integrase
NZ_CP031151.1,NZ_CP031151.1_2,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Integrase
NZ_CP031151.1,NZ_CP031151.1_47,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Phage replication
NZ_CP031152.1,NZ_CP031152.1_22,virion,COG3654 Prophage maintenance system killer protein,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Prophage maintenance
NZ_CP031152.1,NZ_CP031152.1_49,lysis,COG1253 Hemolysins and related proteins containing CBS domains,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Lysis & membrane
NZ_CP031152.1,NZ_CP031152.1_60,integrase,COG0582 Integrase,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Integrase
NZ_CP031152.1,NZ_CP031152.1_101,virion,"Phage plasmid primase, P4",p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Haloferacaceae,g__Haloplanus,s__Haloplanus rubicundus,Halobacteriota,Haloferacaceae,Phage replication
NZ_CP031306.1,NZ_CP031306.1_223,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum bangense,Halobacteriota,Natrialbaceae,Osmolyte transport
NZ_CP031306.1,NZ_CP031306.1_224,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum bangense,Halobacteriota,Natrialbaceae,Osmolyte transport
NZ_CP031306.1,NZ_CP031306.1_225,lysis,COG1292 Choline-glycine betaine transporter,p__Halobacteriota,p__Halobacteriota,c__Halobacteria,o__Halobacteriales,f__Natrialbaceae,g__Natronorubrum,s__Natronorubrum bangense,Halobacteriota,Natrialbaceae,Osmolyte transport
