sample_id	num_contigs	size	gc	md5	rep_type(s)	rep_type_accession(s)	relaxase_type(s)	relaxase_type_accession(s)	mpf_type	mpf_type_accession(s)	orit_type(s)	orit_accession(s)	predicted_mobility	mash_nearest_neighbor	mash_neighbor_distance	mash_neighbor_identification	primary_cluster_id	secondary_cluster_id	predicted_host_range_overall_rank	predicted_host_range_overall_name	observed_host_range_ncbi_rank	observed_host_range_ncbi_name	reported_host_range_lit_rank	reported_host_range_lit_name	associated_pmid(s)	predicted_mobility_conjscan	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
NC_010011.1	1	5705	0.3872042068361087	a7a44453465b95c8f759ff600efd24d0	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010088.1	1	12041	0.6131550535669795	60730c4a872ec1fb3fe65ffb966b8c13	-	-	-	-	-	-	-	-	non-mobilizable	CP022767	0.295981	Ralstonia solanacearum	AG445	AQ480	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010365.1	1	6970	0.3945480631276901	926672c405f08cca973622aa6ee782d6	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010366.1	1	147625	0.5744826418289585	3005e142b1a85f39960b23ca9490cb85	-	-	-	-	-	-	-	-	non-mobilizable	LR134455	0.295981	Tsukamurella tyrosinosolvens	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010367.1	1	40894	0.579106959456155	15ca5fcc477d16e83d1628dfe0e63c53	-	-	-	-	-	-	-	-	non-mobilizable	NC_023068	0.295981	Streptomyces sp. F11	AG351	AQ382	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010369.1	1	194963	0.585900914532501	f178ac6e6dc88fedfbd41679290b06ef	-	-	-	-	-	-	-	-	non-mobilizable	LR134455	0.295981	Tsukamurella tyrosinosolvens	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NC_010597.1	1	29000	0.35817241379310344	2e3f20d6bb318542f34f0927739bae40	-	-	-	-	MPF_T	NC_010597_00011	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_010598.1	1	25960	0.36733436055469953	dd841dcbebab6fc0aab1dab0ab0f54fe	-	-	MOB_Unknown	ABE99654	MPF_T	NC_010598_00011	-	-	conjugative	CP015644	0.295981	Staphylococcus simulans	AA564	AI778	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_011299.1	1	28649	0.35920974554085655	2ce726def3489c4327546dfbc354efd5	-	-	-	-	-	-	-	-	non-mobilizable	CP033848	0.295981	Escherichia coli	AA378	AI390	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Acidianus	s__Acidianus hospitalis
NC_012030.1	1	431338	0.5486092113377444	0fa74ddc3e7bb7f6b6ffbc8af217866a	-	-	-	-	MPF_unknown	NC_012030_00379	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum lacusprofundi
NC_012624.1	1	42245	0.3610841519706474	52769fd84a63941587052c8297ec6e71	-	-	-	-	-	-	-	-	non-mobilizable	AP019843	0.295981	Leptotrichia wadei	AF354	AP295	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_012890.1	1	2802	0.3986438258386866	22f5e76a1c7b1d21d75ebeba530994fc	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_B	s__Archaeoglobus_B profundus
NC_013157.1	1	22190	0.32785038305543035	d0c733132e2b9566a43f8f255e6dd1e3	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus fervens
NC_013201.1	1	221862	0.6415158972694738	77089b1272f7b394d785681064b31f9e	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium mukohataei
NC_013408.1	1	10704	0.4631913303437967	5f02f3376b696111e660579cee71871e	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus vulcanius
NC_013409.1	1	4704	0.3008078231292517	aebffc539ac0eafe0d703a2b17b1329b	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus vulcanius
NC_013536.1	1	2272	0.6769366197183099	456ce4a98a905b8048942bf59b5d292c	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema thermotolerans
NC_013742.1	1	2801	0.39842913245269546	a7fe3fe4eb904fb76f06cef2ad38467a	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Archaeoglobi	o__Archaeoglobales	f__Archaeoglobaceae	g__Archaeoglobus_B	s__Archaeoglobus_B profundus
NC_013744.1	1	698495	0.61158920249966	742cbdd2a18d090fab307afb2fe49abf	-	-	-	-	-	-	-	-	non-mobilizable	CP007745	0.295981	Burkholderia cepacia ATCC 25416	AF428	AP376	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013745.1	1	413648	0.5975370363207365	7e93f4da707ada5e284ee0fb4f88fb68	-	-	-	-	-	-	-	-	non-mobilizable	LR134470	0.295981	Tsukamurella tyrosinosolvens	AG100	AQ117	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013746.1	1	180781	0.5472975589248871	860237e65051780c59d4bc8af8058bd2	-	-	-	-	MPF_T	NC_013746_00233	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013747.1	1	171943	0.6460862029858733	4e5f944edfdfb04e8b3d355e816a66a5	-	-	-	-	-	-	-	-	non-mobilizable	CP020613	0.295981	Paracoccus contaminans	AF906	AP914	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013748.1	1	71062	0.5995609467788692	8cc2fa99908c2621bf9a4a318bb0cf27	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013749.1	1	15815	0.5814732848561492	32ba60e6df24419002022f9791596f25	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena turkmenica
NC_013770.1	1	26615	0.36141273717828293	126af83e887563ee2fdee4527bdf4245	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus islandicus
NC_013777.1	1	5740	0.39041811846689894	3780757b6e3a1e4ef9759c999008f246	-	-	-	-	-	-	-	-	non-mobilizable	CP012741	0.295981	Vibrio vulnificus	AD412	AM968	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
NC_013888.1	1	12197	0.31647126342543247	3b2dbb8aa3d00028d4a3e4bd5dd5d8c0	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanocaldococcaceae	g__Methanocaldococcus	s__Methanocaldococcus sp000025525
NC_013923.1	1	378348	0.6009176736760866	19d8f60366ab1cea88a878c5b1d13158	-	-	-	-	-	-	-	-	non-mobilizable	CP040761	0.295981	Paracoccus sp. 2251	AB554	AK390	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
NC_013924.1	1	254950	0.5682329868601687	12b5a1c82cf32ddab42cd9b4cf334c5f	-	-	-	-	-	-	-	-	non-mobilizable	CP020041	0.295981	Streptomyces sp. 3211	AG373	AQ404	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
NC_013925.1	1	58487	0.6189922546890763	ee3a29697f9a4b9f704889f7cebc96a2	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrialba	s__Natrialba magadii
NC_013964.1	1	437906	0.6555950363776701	d4597c44a14b2b81f90c854fda9a6e38	-	-	-	-	-	-	-	-	non-mobilizable	CP026928	0.295981	Agrobacterium tumefaciens	AB152	AJ761	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013965.1	1	6359	0.5606227394244379	542b2d50de187496a4204df7f880234b	-	-	-	-	-	-	-	-	non-mobilizable	-	1	-	-	-	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013966.1	1	635786	0.6166524585316443	1f9d9b7b7bc83dd49a7573facd3a128b	-	-	-	-	-	-	-	-	non-mobilizable	CP029555	0.295981	Chromobacterium sp. IIBBL 274-1	AB197	AJ868	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_013968.1	1	85092	0.5549875428947492	c56486afdb11ecb9810935cf9d39b60c	-	-	-	-	-	-	-	-	non-mobilizable	CP014515	0.295981	Frondihabitans sp. PAMC 28766	AF546	AP508	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_014115.1	1	13015	0.48367268536304264	cf26225c7082e5c68d6e9bf6abb38950	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus	s__Thermococcus nautili
NC_014254.1	1	163915	0.3363633590580484	6a43f9cc653740ed7873099a1d42a4a8	-	-	-	-	-	-	-	-	non-mobilizable	-	1	-	-	-	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanohalobium	s__Methanohalobium evestigatum
NC_014298.1	1	406285	0.5526563865266992	611a36a07f631c04b528117b6330d0c9	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014299.1	1	363534	0.5416329696809652	7eb4a3005cb497f2cecbf55cec08dee5	-	-	MOBP	NC_014299_00210	MPF_T	NC_014299_00035,NC_014299_00211	-	-	conjugative	CP026928	0.295981	Agrobacterium tumefaciens	AB152	AJ761	-	-	-	-	-	-	-		p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014300.1	1	44576	0.5890165111270639	d235569ec374c30ebe76f0abc028d808	-	-	-	-	MPF_unknown	NC_014300_00024	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014301.1	1	44459	0.5491126656020153	21c75b5b77f1f8ddca03c4a29594b198	-	-	-	-	MPF_T	NC_014299_00035	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014302.1	1	23727	0.47641926918700217	38bab591705cf94c87010ba751a5aaf6	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014303.1	1	6951	0.605955977557186	44870ab1031233f8c6ed9684f4020c8d	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halalkalicoccaceae	g__Halalkalicoccus	s__Halalkalicoccus jeotgali
NC_014409.1	1	4440	0.4540540540540541	292eb74013b932c109053b2dfd3fb49d	rep_cluster_22	001489__NC_014409_00001	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanobacteria	o__Methanobacteriales	f__Methanothermobacteraceae	g__Methanothermobacter	s__Methanothermobacter marburgensis
NC_014731.1	1	339010	0.5725760302055987	ee51d682b6bce9e907dac5dae7c7afc2	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_014732.1	1	194834	0.5882700144738598	5b5ce2ba5892732844648e4cd44c4e34	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_014735.1	1	362194	0.5610170240257983	737a2cb4b6c3b43d4935bec4d78d9ac1	-	-	-	-	-	-	-	-	non-mobilizable	CP026928	0.295981	Agrobacterium tumefaciens	AB152	AJ761	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_014736.1	1	210350	0.564559068219634	b145abda30e1030ce20b643ef106d18e	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_014737.1	1	17535	0.6464784716281722	587c72ee54d9783011d9aac36d6f0eb0	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halogeometricum	s__Halogeometricum borinquense
NC_015430.1	1	18019	0.438814584605139	a18405e75af7ced2c5eadb32f96503e6	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix	s__Methanothrix soehngenii
NC_015471.1	1	54159	0.38322347162983067	09a825fe4466686223871ba8350868d7	-	-	-	-	-	-	-	-	non-mobilizable	MG205641	0.295981	Paeniclostridium sordellii	AD705	AN335	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota_B	c__Thermococci	o__Thermococcales	f__Thermococcaceae	g__Thermococcus_B	s__Thermococcus_B barophilus
NC_015632.1	1	14930	0.26838580040187543	fc109236fe6981dc007b6b31fceba448	rep_cluster_20	001436__NC_015632_00002	-	-	-	-	-	-	non-mobilizable	CP033812	0.295981	Staphylococcus haemolyticus	AH080	AR136	-	-	-	-	-	-	-	non-mobilizable	p__Methanobacteriota	c__Methanococci	o__Methanococcales	f__Methanococcaceae	g__Methanothermococcus_A	s__Methanothermococcus_A okinawensis
NC_015658.1	1	436718	0.6153215576184173	b84a7d0eee83dadd52e093457b806048	-	-	-	-	-	-	-	-	non-mobilizable	CP007745	0.295981	Burkholderia cepacia ATCC 25416	AF428	AP376	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_015659.1	1	68763	0.6215115687215509	176dee9e474c9e012273e98cecc42091	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_015667.1	1	181778	0.5899723838968413	89acadde559b0259b2b31e13a27380b9	-	-	-	-	MPF_T	NC_002608_00127,NC_015667_00008	-	-	non-mobilizable	CP015733	0.295981	Arthrobacter sp. U41	AG151	AQ172	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halopiger	s__Halopiger xanaduensis
NC_015944.1	1	405816	0.5988723953713013	9926c8ab78a52a9446307525db50f1f3	-	-	-	-	-	-	-	-	non-mobilizable	CP031755	0.295981	Rhodobacter sphaeroides	AG653	AQ704	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
NC_016049.1	1	7646	0.30538843839916296	52faff748c26291258ab932d7066f447	-	-	-	-	-	-	-	-	non-mobilizable	NC_012232	0.295981	Borreliella burgdorferi 118a	AC799	AM138	-	-	-	-	-	-	-	non-mobilizable	p__Thermoplasmatota	c__Thermoplasmata	o__Thermoplasmatales	f__Thermoplasmataceae	g__Picrophilus	s__Picrophilus oshimae
NC_016637.1	1	11991	0.5397381369360353	b061a15e7faf2e794c2ffbed114708a0	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanotrichales	f__Methanotrichaceae	g__Methanothrix_A	s__Methanothrix_A harundinacea_E
NC_017457.1	1	100258	0.43856849328731873	5cf81097ad2d41cdd3e4ebe4bca0753e	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_017458.1	1	6056	0.5203104359313078	af607ead68af83961adece1d6befcde0	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_017460.1	1	6129	0.5105237395986295	53e0d930321843aee5fee7dcc9082011	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloquadratum	s__Haloquadratum walsbyi
NC_017942.1	1	129210	0.575574645925238	c2107c1778df41e19af03c42774f4976	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NC_017943.1	1	321908	0.5789853001478683	b07566aa3ec671487eaf4574644091e8	-	-	-	-	-	-	-	-	non-mobilizable	LR134455	0.295981	Tsukamurella tyrosinosolvens	AE457	AO240	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NC_017944.1	1	504705	0.5751022874748616	2368f8de37e3640cc93e21b8713e07ee	-	-	-	-	-	-	-	-	non-mobilizable	JX683454	0.295981	Agrobacterium tumefaciens	AC837	AM187	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax mediterranei
NC_018225.1	1	95989	0.5860463178072487	82a94084e3c10fd1b716787ae315e4d9	-	-	-	-	MPF_T	NC_002608_00127,NC_002608_00126	-	-	non-mobilizable	CP014802	0.295981	Salipiger profundus	AC364	AL532	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema gari
NC_019285.1	1	10795	0.6100046317739695	70c49f9c91bcb3dcfd3a56c27234052a	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax volcanii
NC_019963.1	1	275821	0.5834436101674637	3e3a442473452f9df28ef0a7e0b3031e	-	-	-	-	MPF_T	NC_015955_00255,NC_019963_00206,NC_019963_00204	-	-	non-mobilizable	LR134445	0.295981	Tsukamurella tyrosinosolvens	AF049	AO952	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019967.1	1	287800	0.5701285615010424	fb2c4c530d5d2f06abd87296680fe67e	-	-	-	-	MPF_T	NC_019963_00206	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema pellirubrum
NC_019972.1	1	285109	0.3541733161703068	5929bfcb1d8f17913d35ed2e876960a9	rep_cluster_57	001968__NC_019972_00156	-	-	-	-	-	-	non-mobilizable	NC_011875	0.295981	Borreliella garinii Far04	AD256	AM735	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Methanosarcinia	o__Methanosarcinales	f__Methanosarcinaceae	g__Methanomethylovorans	s__Methanomethylovorans hollandica
NC_019975.1	1	12939	0.5484195069170724	038122309f016705428fe06d35d4bd6f	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronococcus	s__Natronococcus occultus
NC_019976.1	1	287963	0.6131204356115195	7c1ee53b05265672c460b5aa5e69f812	-	-	-	-	-	-	-	-	non-mobilizable	CP001647	0.295981	Ralstonia pickettii 12D	AE834	AO696	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronococcus	s__Natronococcus occultus
NC_021913.1	1	330369	0.5740944216921079	bcbbcbb89b1590cd3c185ff83a25d89b	rep_cluster_15,rep_cluster_31	000836__NC_021913_00326,001620__NC_021913_00176	-	-	-	-	-	-	non-mobilizable	NC_019763	0.295981	Oscillatoria nigro-viridis PCC 7112	AG189	AQ210	-	-	-	-	-	-	-	non-mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halorhabdus	s__Halorhabdus tiamatea
NC_021914.1	1	27975	0.3954602323503128	0d421bc70f5471a76c70fc996cab4ca8	-	-	-	-	-	-	-	-	non-mobilizable	CP031654	1.0	Escherichia coli	AA379	AI397	-	-	-	-	-	-	-	non-mobilizable	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus solfataricus
NC_023011.1	1	125764	0.5531392131293534	a659fafec23633b2d63e416a42176544	-	-	-	-	MPF_T	NC_006393_00092	-	-	non-mobilizable	NC_021278	0.295981	Mycobacteroides abscessus subsp. bolletii 50594	AG700	AQ754	-	-	-	-	-	-	-	mobilizable	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula hispanica
