hit_id	replicon_name	position_hit	hit_sequence_length	gene_name	i_eval	score	profile_coverage	sequence_coverage	begin	end	gtdb_phylum	gtdb_class	gtdb_order	gtdb_family	gtdb_genus	gtdb_species
NZ_CP019286.1_00144	NZ_CP019286.1	144	1274	T4SS_t4cp2	1.000e-06	21.700	0.622	0.108	712	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halobiforma	s__Halobiforma lacisalsi
NZ_CP019286.1_00143	NZ_CP019286.1	143	741	T4SS_virb4	9.800e-73	239.400	0.572	0.825	95	705	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Halobiforma	s__Halobiforma lacisalsi
NZ_CP024045.1_00032	NZ_CP024045.1	32	1449	T4SS_t4cp2	2.200e-13	42.500	0.595	0.094	722	857	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrarchaeobaculum	s__Natrarchaeobaculum sulfurireducens
NZ_CP024045.1_00031	NZ_CP024045.1	31	728	T4SS_virb4	9.000e-69	225.200	0.539	0.772	95	656	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrarchaeobaculum	s__Natrarchaeobaculum sulfurireducens
NZ_CP026312.1_00012	NZ_CP026312.1	12	1439	T4SS_t4cp2	1.600e-11	37.000	0.617	0.096	719	856	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP026312.1_00013	NZ_CP026312.1	13	735	T4SS_t4cp2	1.800e-04	14.000	0.536	0.151	504	614	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP026312.1_00013	NZ_CP026312.1	13	735	T4SS_virb4	3.000e-68	224.000	0.601	0.842	98	716	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP026313.1_00066	NZ_CP026313.1	66	1289	T4SS_t4cp2	1.500e-06	20.700	0.613	0.106	729	864	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP026313.1_00067	NZ_CP026313.1	67	741	T4SS_t4cp2	2.800e-05	16.500	0.541	0.151	504	615	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP026313.1_00067	NZ_CP026313.1	67	741	T4SS_virb4	3.100e-70	230.500	0.590	0.821	98	705	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Salinigranum	s__Salinigranum rubrum
NZ_CP031308.1_00110	NZ_CP031308.1	110	1221	T4SS_t4cp2	8.000e-07	21.600	0.608	0.111	663	797	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum bangense
NZ_CP031308.1_00109	NZ_CP031308.1	109	712	T4SS_virb4	3.400e-72	237.000	0.559	0.816	83	663	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum bangense
NZ_CP031314.1_00141	NZ_CP031314.1	141	695	T4SS_t4cp2	1.600e-08	27.800	0.536	0.170	485	602	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobellus	s__Halobellus limi
NZ_CP031314.1_00142	NZ_CP031314.1	142	1442	T4SS_t4cp2	2.900e-12	40.000	0.622	0.097	721	860	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobellus	s__Halobellus limi
NZ_CP031314.1_00141	NZ_CP031314.1	141	695	T4SS_virb4	1.000e-79	262.600	0.569	0.863	69	668	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobellus	s__Halobellus limi
NZ_CP034344.1_00018	NZ_CP034344.1	18	1469	T4SS_t4cp2	8.600e-12	38.700	0.617	0.094	728	865	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus salinarum
NZ_CP034344.1_00142	NZ_CP034344.1	142	695	T4SS_t4cp2	1.900e-08	27.800	0.536	0.170	485	602	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus salinarum
NZ_CP034344.1_00143	NZ_CP034344.1	143	1453	T4SS_t4cp2	3.600e-12	40.000	0.622	0.096	732	871	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus salinarum
NZ_CP034344.1_00017	NZ_CP034344.1	17	735	T4SS_virb4	4.100e-70	231.100	0.571	0.830	98	707	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus salinarum
NZ_CP034344.1_00142	NZ_CP034344.1	142	695	T4SS_virb4	7.100e-80	263.400	0.569	0.863	69	668	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloplanus	s__Haloplanus salinarum
NZ_CP035121.1_00003	NZ_CP035121.1	3	1271	T4SS_t4cp2	5.300e-07	21.800	0.626	0.109	713	851	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus pelagicus
NZ_CP035121.1_00004	NZ_CP035121.1	4	735	T4SS_t4cp2	3.200e-06	19.200	0.626	0.182	490	623	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus pelagicus
NZ_CP035121.1_00004	NZ_CP035121.1	4	735	T4SS_virb4	7.600e-70	228.800	0.567	0.826	99	705	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haladaptataceae	g__Halorussus	s__Halorussus pelagicus
NZ_CP039134.1_00112	NZ_CP039134.1	111	694	T4SS_t4cp2	1.400e-08	27.800	0.536	0.170	484	601	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP039134.1_00113	NZ_CP039134.1	112	1456	T4SS_t4cp2	2.600e-12	40.000	0.622	0.096	733	872	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP039134.1_00112	NZ_CP039134.1	111	694	T4SS_virb4	7.800e-80	262.800	0.563	0.856	68	661	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP039135.1_00102	NZ_CP039135.1	102	738	T4SS_t4cp2	4.500e-23	75.000	0.914	0.267	346	542	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP039135.1_00106	NZ_CP039135.1	106	1088	T4SS_t4cp2	1.500e-06	20.900	0.608	0.121	795	926	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP039135.1_00106	NZ_CP039135.1	106	1088	T4SS_virb4	2.900e-59	194.500	0.707	0.734	178	976	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP040331.1_00390	NZ_CP040331.1	376	1102	T4SS_t4cp2	2.600e-06	21.900	0.577	0.114	827	952	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema versiforme_A
NZ_CP040331.1_00392	NZ_CP040331.1	378	1027	T4SS_t4cp2	1.100e-14	49.300	0.658	0.140	326	469	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema versiforme_A
NZ_CP040331.1_00530	NZ_CP040331.1	514	1030	T4SS_t4cp2	1.100e-14	49.300	0.658	0.140	318	461	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema versiforme_A
NZ_CP040331.1_00390	NZ_CP040331.1	376	1102	T4SS_virb4	7.100e-69	228.100	0.621	0.595	396	1051	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema versiforme_A
NZ_CP040331.1_00528	NZ_CP040331.1	512	1102	T4SS_virb4	7.100e-67	221.500	0.622	0.596	395	1051	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema versiforme_A
NZ_CP045489.1_00360	NZ_CP045489.1	360	1014	T4SS_t4cp2	2.800e-15	51.000	0.667	0.144	300	445	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum aibiense
NZ_CP045489.1_00362	NZ_CP045489.1	362	1100	T4SS_virb4	8.300e-70	230.900	0.622	0.589	389	1036	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natronorubrum	s__Natronorubrum aibiense
NZ_CP053943.1_00063	NZ_CP053943.1	63	1274	T4SS_t4cp2	8.700e-07	21.700	0.626	0.109	711	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum salinarum
NZ_CP053943.1_00064	NZ_CP053943.1	64	741	T4SS_virb4	6.100e-72	236.500	0.604	0.850	98	727	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum salinarum
NZ_CP054586.1_00057	NZ_CP054586.1	57	1469	T4SS_t4cp2	1.400e-11	38.700	0.617	0.094	728	865	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp003721435
NZ_CP054586.1_00196	NZ_CP054586.1	196	694	T4SS_t4cp2	3.200e-08	27.800	0.536	0.170	484	601	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp003721435
NZ_CP054586.1_00197	NZ_CP054586.1	197	1454	T4SS_t4cp2	7.600e-12	39.600	0.626	0.097	732	872	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp003721435
NZ_CP054586.1_00058	NZ_CP054586.1	58	735	T4SS_virb4	6.100e-71	234.500	0.568	0.801	98	686	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp003721435
NZ_CP054586.1_00196	NZ_CP054586.1	196	694	T4SS_virb4	5.900e-79	261.000	0.563	0.856	68	661	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halorubrum	s__Halorubrum sp003721435
NZ_CP054589.1_00037	NZ_CP054589.1	37	1440	T4SS_t4cp2	1.500e-11	38.100	0.617	0.096	728	865	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp002025255
NZ_CP054589.1_00154	NZ_CP054589.1	154	1274	T4SS_t4cp2	1.800e-06	21.500	0.622	0.108	712	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp002025255
NZ_CP054589.1_00036	NZ_CP054589.1	36	735	T4SS_virb4	3.600e-71	234.700	0.572	0.831	98	708	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp002025255
NZ_CP054589.1_00153	NZ_CP054589.1	153	741	T4SS_virb4	2.200e-73	242.100	0.619	0.873	91	737	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halolamina	s__Halolamina sp002025255
NZ_CP054708.1_00398	NZ_CP054708.1	398	1167	T4SS_t4cp2	5.100e-04	14.400	0.536	0.105	599	720	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
NZ_CP054708.1_00411	NZ_CP054708.1	411	657	T4SS_virb4	5.500e-64	211.900	0.562	0.900	44	634	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
NZ_CP054709.1_00276	NZ_CP054709.1	274	1409	T4SS_t4cp2	1.900e-11	38.300	0.653	0.106	685	834	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
NZ_CP054709.1_00277	NZ_CP054709.1	275	729	T4SS_t4cp2	1.200e-05	19.300	0.550	0.159	507	622	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
NZ_CP054709.1_00325	NZ_CP054709.1	323	736	T4SS_t4cp2	5.200e-05	17.200	0.550	0.158	507	622	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
NZ_CP054709.1_00326	NZ_CP054709.1	324	1428	T4SS_t4cp2	6.100e-13	43.200	0.613	0.095	717	852	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
NZ_CP054709.1_00277	NZ_CP054709.1	275	729	T4SS_virb4	1.100e-68	227.000	0.600	0.853	99	720	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
NZ_CP054709.1_00325	NZ_CP054709.1	323	736	T4SS_virb4	7.400e-67	220.900	0.602	0.848	99	722	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halarchaeum	s__Halarchaeum grantii
NZ_CP058531.1_00024	NZ_CP058531.1	24	1501	T4SS_t4cp2	4.700e-12	39.400	0.622	0.093	740	878	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum halophilum
NZ_CP058531.1_00025	NZ_CP058531.1	25	651	T4SS_virb4	3.100e-69	228.000	0.532	0.869	37	602	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum halophilum
NZ_CP063206.1_00148	NZ_CP063206.1	148	733	T4SS_t4cp2	1.300e-05	19.700	0.550	0.156	503	616	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP063206.1_00149	NZ_CP063206.1	149	1393	T4SS_t4cp2	2.000e-11	38.700	0.613	0.101	673	812	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP063206.1_00291	NZ_CP063206.1	290	734	T4SS_t4cp2	8.200e-05	17.100	0.554	0.157	502	616	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP063206.1_00292	NZ_CP063206.1	291	1283	T4SS_t4cp2	1.600e-06	22.600	0.608	0.105	724	858	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP063206.1_00148	NZ_CP063206.1	148	733	T4SS_virb4	3.600e-68	225.800	0.580	0.819	98	697	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP063206.1_00291	NZ_CP063206.1	290	734	T4SS_virb4	5.900e-68	225.100	0.563	0.796	98	681	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP063208.1_00059	NZ_CP063208.1	59	1304	T4SS_t4cp1	4.200e-07	22.900	0.982	0.090	447	563	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP063208.1_00059	NZ_CP063208.1	59	1304	T4SS_t4cp2	6.600e-09	27.400	0.653	0.107	625	764	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP063208.1_00058	NZ_CP063208.1	58	984	T4SS_virb4	1.600e-53	174.300	0.585	0.659	309	956	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloferax	s__Haloferax gibbonsii
NZ_CP064790.1_00094	NZ_CP064790.1	94	1276	T4SS_t4cp2	4.700e-07	22.500	0.608	0.106	717	851	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halapricum	s__Halapricum desulfuricans
NZ_CP064790.1_00095	NZ_CP064790.1	95	735	T4SS_t4cp2	2.100e-05	17.100	0.514	0.162	497	615	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halapricum	s__Halapricum desulfuricans
NZ_CP064790.1_00095	NZ_CP064790.1	95	735	T4SS_virb4	1.200e-68	225.500	0.587	0.830	97	706	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halapricum	s__Halapricum desulfuricans
NZ_CP069189.1_00006	NZ_CP069189.1	6	1099	T4SS_t4cp2	3.700e-07	22.800	0.649	0.130	810	952	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena salifodinae
NZ_CP069189.1_00008	NZ_CP069189.1	8	1036	T4SS_t4cp2	7.800e-16	51.200	0.640	0.135	329	468	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena salifodinae
NZ_CP069189.1_00006	NZ_CP069189.1	6	1099	T4SS_virb4	1.700e-69	228.200	0.641	0.612	391	1063	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena salifodinae
NZ_CP069193.1_00037	NZ_CP069193.1	37	1273	T4SS_t4cp2	7.200e-07	21.100	0.622	0.108	711	848	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena salifodinae
NZ_CP069193.1_00038	NZ_CP069193.1	38	741	T4SS_virb4	1.300e-73	241.100	0.598	0.850	89	718	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Haloterrigena	s__Haloterrigena salifodinae
NZ_CP070334.1_00002	NZ_CP070334.1	2	1274	T4SS_t4cp2	6.500e-07	21.500	0.622	0.108	712	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NZ_CP070334.1_00003	NZ_CP070334.1	3	741	T4SS_virb4	9.900e-72	235.100	0.584	0.825	98	708	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NZ_CP070335.2_00318	NZ_CP070335.2	317	1272	T4SS_t4cp2	2.000e-06	21.600	0.622	0.108	712	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NZ_CP070335.2_00319	NZ_CP070335.2	318	744	T4SS_virb4	6.800e-73	240.600	0.625	0.875	91	741	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NZ_CP070375.1_00002	NZ_CP070375.1	2	1272	T4SS_t4cp2	1.700e-06	21.600	0.622	0.108	712	849	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NZ_CP070375.1_00003	NZ_CP070375.1	3	741	T4SS_virb4	6.000e-73	240.700	0.625	0.879	88	738	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Halobacteriaceae	g__Halobacterium	s__Halobacterium salinarum
NZ_CP073372.1_00056	NZ_CP073372.1	55	741	T4SS_t4cp2	5.400e-23	74.600	0.914	0.266	349	545	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP073372.1_00060	NZ_CP073372.1	59	1084	T4SS_t4cp2	1.400e-06	20.900	0.608	0.122	795	926	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP073372.1_00060	NZ_CP073372.1	59	1084	T4SS_virb4	1.700e-59	195.100	0.744	0.781	129	975	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Haloarcula	s__Haloarcula marismortui
NZ_CP077714.1_00027	NZ_CP077714.1	27	1035	T4SS_t4cp2	1.400e-20	65.500	0.689	0.150	441	595	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus shibatae
NZ_CP077714.1_00039	NZ_CP077714.1	39	628	T4SS_t4cp2	3.800e-06	18.300	0.545	0.182	465	578	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus shibatae
NZ_CP077714.1_00039	NZ_CP077714.1	39	628	T4SS_virb4	2.100e-55	180.400	0.543	0.822	105	620	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus shibatae
NZ_CP077716.1_00024	NZ_CP077716.1	24	1032	T4SS_t4cp2	4.600e-19	60.400	0.676	0.147	451	602	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus shibatae
NZ_CP077716.1_00035	NZ_CP077716.1	35	671	T4SS_t4cp2	5.100e-06	17.800	0.572	0.183	499	621	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus shibatae
NZ_CP077716.1_00035	NZ_CP077716.1	35	671	T4SS_virb4	1.700e-54	177.300	0.511	0.741	143	639	p__Thermoproteota	c__Thermoprotei_A	o__Sulfolobales	f__Sulfolobaceae	g__Saccharolobus	s__Saccharolobus shibatae
NZ_CP082248.1_00886	NZ_CP082248.1	881	854	T4SS_t4cp1	4.200e-04	17.100	0.991	0.131	129	240	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema sp019879105
NZ_CP082248.1_00886	NZ_CP082248.1	881	854	T4SS_t4cp2	1.100e-15	53.500	0.671	0.172	302	448	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema sp019879105
NZ_CP082248.1_00888	NZ_CP082248.1	883	1105	T4SS_t4cp2	8.400e-06	21.200	0.523	0.105	837	952	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema sp019879105
NZ_CP082248.1_00888	NZ_CP082248.1	883	1105	T4SS_virb4	3.200e-68	226.900	0.624	0.591	388	1040	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Natrialbaceae	g__Natrinema	s__Natrinema sp019879105
NZ_CP082287.1_00024	NZ_CP082287.1	24	1282	T4SS_t4cp2	1.100e-06	22.100	0.622	0.108	720	857	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum roseum
NZ_CP082287.1_00023	NZ_CP082287.1	23	741	T4SS_virb4	2.800e-73	241.600	0.596	0.845	95	720	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum roseum
NZ_CP082289.1_00116	NZ_CP082289.1	115	694	T4SS_t4cp2	1.400e-08	27.800	0.536	0.170	484	601	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum roseum
NZ_CP082289.1_00117	NZ_CP082289.1	116	1456	T4SS_t4cp2	2.700e-12	40.000	0.622	0.096	733	872	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum roseum
NZ_CP082289.1_00116	NZ_CP082289.1	115	694	T4SS_virb4	8.100e-80	262.800	0.563	0.856	68	661	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Halobaculum	s__Halobaculum roseum
NZ_CP083668.1_00032	NZ_CP083668.1	32	633	T4SS_t4cp2	8.400e-10	31.700	0.514	0.171	455	562	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus sp020097835
NZ_CP083668.1_00034	NZ_CP083668.1	34	1318	T4SS_t4cp2	8.500e-11	34.900	0.604	0.102	614	748	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus sp020097835
NZ_CP083668.1_00032	NZ_CP083668.1	32	633	T4SS_virb4	2.700e-78	257.500	0.552	0.913	23	600	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus sp020097835
NZ_CP083669.1_00015	NZ_CP083669.1	15	735	T4SS_t4cp2	2.100e-05	16.500	0.541	0.152	504	615	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus sp020097835
NZ_CP083669.1_00016	NZ_CP083669.1	16	1281	T4SS_t4cp2	6.000e-07	21.600	0.622	0.108	714	851	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus sp020097835
NZ_CP083669.1_00015	NZ_CP083669.1	15	735	T4SS_virb4	9.000e-71	231.900	0.568	0.827	98	705	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloferacaceae	g__Haloprofundus	s__Haloprofundus sp020097835
NZ_CP084465.1_00025	NZ_CP084465.1	25	595	T4SS_t4cp2	1.800e-28	91.300	0.869	0.324	386	578	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium salinisoli
NZ_CP084465.1_00021	NZ_CP084465.1	21	1037	T4SS_virb4	1.900e-56	183.800	0.557	0.595	317	933	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium salinisoli
NZ_CP084467.1_00323	NZ_CP084467.1	319	586	T4SS_t4cp1	4.600e-07	25.500	0.627	0.101	247	305	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium salinisoli
NZ_CP084467.1_00323	NZ_CP084467.1	319	586	T4SS_t4cp2	1.800e-27	90.900	0.869	0.329	377	569	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium salinisoli
NZ_CP084467.1_00328	NZ_CP084467.1	324	1037	T4SS_virb4	5.300e-59	195.200	0.547	0.589	323	933	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium salinisoli
NZ_CP084468.1_00054	NZ_CP084468.1	54	1266	T4SS_t4cp2	9.600e-08	24.200	0.667	0.118	704	852	p__Halobacteriota	c__Halobacteria	o__Halobacteriales	f__Haloarculaceae	g__Halomicrobium	s__Halomicrobium salinisoli
