protein_id	plasmid	cluster_id	cluster_rep
NZ_CP081959.1|NZ_CP081959.1_00262	NZ_CP081959.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_CP082289.1|NZ_CP082289.1_00079	NZ_CP082289.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_CP085325.1|NZ_CP085325.1_00098	NZ_CP085325.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_CP089469.1|NZ_CP089469.1_00364	NZ_CP089469.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_CP090373.1|NZ_CP090373.1_00115	NZ_CP090373.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_CP119990.1|NZ_CP119990.1_00101	NZ_CP119990.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_LN831305.1|NZ_LN831305.1_00051	NZ_LN831305.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_MN918441.1|NZ_MN918441.1_00015	NZ_MN918441.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_QJOW01000005.1|NZ_QJOW01000005.1_00068	NZ_QJOW01000005.1	cluster_20170	NZ_CP119560.1|NZ_CP119560.1_00445
NZ_CP119560.1|NZ_CP119560.1_00454	NZ_CP119560.1	cluster_20171	NZ_CP119560.1|NZ_CP119560.1_00454
NZ_CP119560.1|NZ_CP119560.1_00024	NZ_CP119560.1	cluster_20171	NZ_CP119560.1|NZ_CP119560.1_00454
NZ_CP119560.1|NZ_CP119560.1_00457	NZ_CP119560.1	cluster_20172	NZ_CP119560.1|NZ_CP119560.1_00457
NZ_CP119560.1|NZ_CP119560.1_00027	NZ_CP119560.1	cluster_20172	NZ_CP119560.1|NZ_CP119560.1_00457
NZ_CP095493.1|NZ_CP095493.1_00075	NZ_CP095493.1	cluster_20172	NZ_CP119560.1|NZ_CP119560.1_00457
NZ_CP119560.1|NZ_CP119560.1_00459	NZ_CP119560.1	cluster_20173	NZ_CP119560.1|NZ_CP119560.1_00459
NZ_CP119560.1|NZ_CP119560.1_00029	NZ_CP119560.1	cluster_20173	NZ_CP119560.1|NZ_CP119560.1_00459
NZ_CP119560.1|NZ_CP119560.1_00460	NZ_CP119560.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NZ_CP119560.1|NZ_CP119560.1_00030	NZ_CP119560.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
CP126163.1|CP126163.1_00188	CP126163.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NC_014735.1|NC_014735.1_00217	NC_014735.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NZ_CP119560.1|NZ_CP119560.1_00455	NZ_CP119560.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NZ_CP119560.1|NZ_CP119560.1_00025	NZ_CP119560.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NZ_CP095493.1|NZ_CP095493.1_00072	NZ_CP095493.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NZ_CP042240.1|NZ_CP042240.1_00112	NZ_CP042240.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NC_013964.1|NC_013964.1_00152	NC_013964.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NZ_CP104742.1|NZ_CP104742.1_00148	NZ_CP104742.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NZ_CP106967.1|NZ_CP106967.1_00292	NZ_CP106967.1	cluster_20174	NZ_CP119560.1|NZ_CP119560.1_00460
NZ_CP119560.1|NZ_CP119560.1_00463	NZ_CP119560.1	cluster_20175	NZ_CP119560.1|NZ_CP119560.1_00463
NZ_CP119560.1|NZ_CP119560.1_00033	NZ_CP119560.1	cluster_20175	NZ_CP119560.1|NZ_CP119560.1_00463
NZ_CP119560.1|NZ_CP119560.1_00468	NZ_CP119560.1	cluster_20176	NZ_CP119560.1|NZ_CP119560.1_00468
NZ_CP119560.1|NZ_CP119560.1_00039	NZ_CP119560.1	cluster_20176	NZ_CP119560.1|NZ_CP119560.1_00468
NZ_CP034941.1|NZ_CP034941.1_00619	NZ_CP034941.1	cluster_20176	NZ_CP119560.1|NZ_CP119560.1_00468
NZ_CP119560.1|NZ_CP119560.1_00470	NZ_CP119560.1	cluster_20177	NZ_CP119560.1|NZ_CP119560.1_00470
NZ_CP119560.1|NZ_CP119560.1_00041	NZ_CP119560.1	cluster_20177	NZ_CP119560.1|NZ_CP119560.1_00470
NZ_CP119560.1|NZ_CP119560.1_00471	NZ_CP119560.1	cluster_20178	NZ_CP119560.1|NZ_CP119560.1_00471
NZ_CP119560.1|NZ_CP119560.1_00042	NZ_CP119560.1	cluster_20178	NZ_CP119560.1|NZ_CP119560.1_00471
NZ_CP119560.1|NZ_CP119560.1_00478	NZ_CP119560.1	cluster_20179	NZ_CP119560.1|NZ_CP119560.1_00478
NZ_CP119560.1|NZ_CP119560.1_00049	NZ_CP119560.1	cluster_20179	NZ_CP119560.1|NZ_CP119560.1_00478
NZ_CP119560.1|NZ_CP119560.1_00479	NZ_CP119560.1	cluster_20180	NZ_CP119560.1|NZ_CP119560.1_00479
NZ_CP119560.1|NZ_CP119560.1_00050	NZ_CP119560.1	cluster_20180	NZ_CP119560.1|NZ_CP119560.1_00479
NZ_CP119560.1|NZ_CP119560.1_00480	NZ_CP119560.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NC_015658.1|NC_015658.1_00351	NC_015658.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NZ_CP084471.1|NZ_CP084471.1_00038	NZ_CP084471.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NZ_CP063206.1|NZ_CP063206.1_00492	NZ_CP063206.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NZ_CP011948.1|NZ_CP011948.1_00014	NZ_CP011948.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NZ_CP031306.1|NZ_CP031306.1_00348	NZ_CP031306.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NZ_CP100455.1|NZ_CP100455.1_00148	NZ_CP100455.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NZ_CP119560.1|NZ_CP119560.1_00051	NZ_CP119560.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NZ_CP095493.1|NZ_CP095493.1_00091	NZ_CP095493.1	cluster_20181	NZ_CP119560.1|NZ_CP119560.1_00480
NZ_CP119783.1|NZ_CP119783.1_00008	NZ_CP119783.1	cluster_20182	NZ_CP119783.1|NZ_CP119783.1_00008
NZ_CP119792.1|NZ_CP119792.1_00389	NZ_CP119792.1	cluster_20182	NZ_CP119783.1|NZ_CP119783.1_00008
NZ_CP120472.1|NZ_CP120472.1_00264	NZ_CP120472.1	cluster_20182	NZ_CP119783.1|NZ_CP119783.1_00008
NZ_CP100408.1|NZ_CP100408.1_00172	NZ_CP100408.1	cluster_20182	NZ_CP119783.1|NZ_CP119783.1_00008
NZ_CP100405.1|NZ_CP100405.1_00230	NZ_CP100405.1	cluster_20182	NZ_CP119783.1|NZ_CP119783.1_00008
NZ_CP126162.1|NZ_CP126162.1_00382	NZ_CP126162.1	cluster_20182	NZ_CP119783.1|NZ_CP119783.1_00008
NZ_CP119783.1|NZ_CP119783.1_00010	NZ_CP119783.1	cluster_20183	NZ_CP119783.1|NZ_CP119783.1_00010
NZ_CP119792.1|NZ_CP119792.1_00387	NZ_CP119792.1	cluster_20183	NZ_CP119783.1|NZ_CP119783.1_00010
NZ_CP120472.1|NZ_CP120472.1_00266	NZ_CP120472.1	cluster_20183	NZ_CP119783.1|NZ_CP119783.1_00010
NZ_CP119783.1|NZ_CP119783.1_00015	NZ_CP119783.1	cluster_20184	NZ_CP119783.1|NZ_CP119783.1_00015
NZ_CP119792.1|NZ_CP119792.1_00382	NZ_CP119792.1	cluster_20184	NZ_CP119783.1|NZ_CP119783.1_00015
NZ_CP120472.1|NZ_CP120472.1_00271	NZ_CP120472.1	cluster_20184	NZ_CP119783.1|NZ_CP119783.1_00015
NZ_CP119797.1|NZ_CP119797.1_00338	NZ_CP119797.1	cluster_20184	NZ_CP119783.1|NZ_CP119783.1_00015
NZ_CP084883.1|NZ_CP084883.1_00394	NZ_CP084883.1	cluster_20184	NZ_CP119783.1|NZ_CP119783.1_00015
NZ_CP099392.1|NZ_CP099392.1_00068	NZ_CP099392.1	cluster_20184	NZ_CP119783.1|NZ_CP119783.1_00015
NZ_CP119783.1|NZ_CP119783.1_00016	NZ_CP119783.1	cluster_20185	NZ_CP119783.1|NZ_CP119783.1_00016
NZ_CP119792.1|NZ_CP119792.1_00381	NZ_CP119792.1	cluster_20185	NZ_CP119783.1|NZ_CP119783.1_00016
NZ_CP120472.1|NZ_CP120472.1_00272	NZ_CP120472.1	cluster_20185	NZ_CP119783.1|NZ_CP119783.1_00016
NZ_CP119783.1|NZ_CP119783.1_00017	NZ_CP119783.1	cluster_20186	NZ_CP119783.1|NZ_CP119783.1_00017
NZ_CP119792.1|NZ_CP119792.1_00380	NZ_CP119792.1	cluster_20186	NZ_CP119783.1|NZ_CP119783.1_00017
NZ_CP120472.1|NZ_CP120472.1_00273	NZ_CP120472.1	cluster_20186	NZ_CP119783.1|NZ_CP119783.1_00017
NZ_CP069191.1|NZ_CP069191.1_00115	NZ_CP069191.1	cluster_20186	NZ_CP119783.1|NZ_CP119783.1_00017
NC_013744.1|NC_013744.1_00089	NC_013744.1	cluster_20186	NZ_CP119783.1|NZ_CP119783.1_00017
NZ_CP119797.1|NZ_CP119797.1_00686	NZ_CP119797.1	cluster_20186	NZ_CP119783.1|NZ_CP119783.1_00017
NZ_CP119783.1|NZ_CP119783.1_00018	NZ_CP119783.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119792.1|NZ_CP119792.1_00379	NZ_CP119792.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP120472.1|NZ_CP120472.1_00274	NZ_CP120472.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119797.1|NZ_CP119797.1_00341	NZ_CP119797.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NC_013964.1|NC_013964.1_00085	NC_013964.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP011948.1|NZ_CP011948.1_00173	NZ_CP011948.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP063206.1|NZ_CP063206.1_00076	NZ_CP063206.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP104742.1|NZ_CP104742.1_00382	NZ_CP104742.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP106967.1|NZ_CP106967.1_00152	NZ_CP106967.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP007057.1|NZ_CP007057.1_00364	NZ_CP007057.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP100410.1|NZ_CP100410.1_00028	NZ_CP100410.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP109980.1|NZ_CP109980.1_00224	NZ_CP109980.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP110250.1|NZ_CP110250.1_00086	NZ_CP110250.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP095492.1|NZ_CP095492.1_00107	NZ_CP095492.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP083664.1|NZ_CP083664.1_00064	NZ_CP083664.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119797.1|NZ_CP119797.1_00653	NZ_CP119797.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP110252.1|NZ_CP110252.1_00056	NZ_CP110252.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP109982.1|NZ_CP109982.1_00050	NZ_CP109982.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119798.1|NZ_CP119798.1_00030	NZ_CP119798.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119798.1|NZ_CP119798.1_00056	NZ_CP119798.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119798.1|NZ_CP119798.1_00034	NZ_CP119798.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119798.1|NZ_CP119798.1_00055	NZ_CP119798.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP083667.1|NZ_CP083667.1_00366	NZ_CP083667.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP109982.1|NZ_CP109982.1_00092	NZ_CP109982.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP110252.1|NZ_CP110252.1_00011	NZ_CP110252.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP110252.1|NZ_CP110252.1_00351	NZ_CP110252.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119798.1|NZ_CP119798.1_00068	NZ_CP119798.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119797.1|NZ_CP119797.1_00685	NZ_CP119797.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP110251.1|NZ_CP110251.1_00386	NZ_CP110251.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP109981.1|NZ_CP109981.1_00308	NZ_CP109981.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119798.1|NZ_CP119798.1_00060	NZ_CP119798.1	cluster_20187	NZ_CP119783.1|NZ_CP119783.1_00018
NZ_CP119783.1|NZ_CP119783.1_00021	NZ_CP119783.1	cluster_20188	NZ_CP119783.1|NZ_CP119783.1_00021
NZ_CP119792.1|NZ_CP119792.1_00376	NZ_CP119792.1	cluster_20188	NZ_CP119783.1|NZ_CP119783.1_00021
NZ_CP120472.1|NZ_CP120472.1_00277	NZ_CP120472.1	cluster_20188	NZ_CP119783.1|NZ_CP119783.1_00021
NZ_CP119788.1|NZ_CP119788.1_00052	NZ_CP119788.1	cluster_20421	NZ_CP119788.1|NZ_CP119788.1_00052
NZ_CP119788.1|NZ_CP119788.1_00054	NZ_CP119788.1	cluster_20422	NZ_CP119788.1|NZ_CP119788.1_00054
NZ_CP119788.1|NZ_CP119788.1_00056	NZ_CP119788.1	cluster_20423	NZ_CP119788.1|NZ_CP119788.1_00056
NZ_CP119788.1|NZ_CP119788.1_00057	NZ_CP119788.1	cluster_20424	NZ_CP119788.1|NZ_CP119788.1_00057
NZ_CP119788.1|NZ_CP119788.1_00149	NZ_CP119788.1	cluster_20424	NZ_CP119788.1|NZ_CP119788.1_00057
NZ_CP119788.1|NZ_CP119788.1_00058	NZ_CP119788.1	cluster_20425	NZ_CP119788.1|NZ_CP119788.1_00058
NZ_CP119788.1|NZ_CP119788.1_00063	NZ_CP119788.1	cluster_20426	NZ_CP119788.1|NZ_CP119788.1_00063
NZ_CP098515.1|NZ_CP098515.1_00151	NZ_CP098515.1	cluster_20426	NZ_CP119788.1|NZ_CP119788.1_00063
NZ_CP119788.1|NZ_CP119788.1_00065	NZ_CP119788.1	cluster_20427	NZ_CP119788.1|NZ_CP119788.1_00065
NZ_CP119788.1|NZ_CP119788.1_00066	NZ_CP119788.1	cluster_20428	NZ_CP119788.1|NZ_CP119788.1_00066
NZ_CP119788.1|NZ_CP119788.1_00078	NZ_CP119788.1	cluster_20429	NZ_CP119788.1|NZ_CP119788.1_00078
NZ_CP119788.1|NZ_CP119788.1_00169	NZ_CP119788.1	cluster_20429	NZ_CP119788.1|NZ_CP119788.1_00078
NZ_CP119788.1|NZ_CP119788.1_00079	NZ_CP119788.1	cluster_20430	NZ_CP119788.1|NZ_CP119788.1_00079
NZ_CP119788.1|NZ_CP119788.1_00081	NZ_CP119788.1	cluster_20431	NZ_CP119788.1|NZ_CP119788.1_00081
NZ_CP119788.1|NZ_CP119788.1_00082	NZ_CP119788.1	cluster_20432	NZ_CP119788.1|NZ_CP119788.1_00082
NZ_CP119788.1|NZ_CP119788.1_00085	NZ_CP119788.1	cluster_20433	NZ_CP119788.1|NZ_CP119788.1_00085
NZ_CP119788.1|NZ_CP119788.1_00086	NZ_CP119788.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP064792.1|NZ_CP064792.1_00098	NZ_CP064792.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP119810.1|NZ_CP119810.1_00325	NZ_CP119810.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_MJCD01000019.1|NZ_MJCD01000019.1_00015	NZ_MJCD01000019.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_KX906370.1|NZ_KX906370.1_00045	NZ_KX906370.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP119786.1|NZ_CP119786.1_00202	NZ_CP119786.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP031307.1|NZ_CP031307.1_00112	NZ_CP031307.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP045490.1|NZ_CP045490.1_00089	NZ_CP045490.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP099392.1|NZ_CP099392.1_00102	NZ_CP099392.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP111040.1|NZ_CP111040.1_00168	NZ_CP111040.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP096022.1|NZ_CP096022.1_00227	NZ_CP096022.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP111040.1|NZ_CP111040.1_00568	NZ_CP111040.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_MJCD01000020.1|NZ_MJCD01000020.1_00012	NZ_MJCD01000020.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_KX906370.1|NZ_KX906370.1_00156	NZ_KX906370.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NC_013923.1|NC_013923.1_00006	NC_013923.1	cluster_20434	NZ_CP119788.1|NZ_CP119788.1_00086
NZ_CP119788.1|NZ_CP119788.1_00087	NZ_CP119788.1	cluster_20435	NZ_CP119788.1|NZ_CP119788.1_00087
NZ_CP095398.1|NZ_CP095398.1_00659	NZ_CP095398.1	cluster_20435	NZ_CP119788.1|NZ_CP119788.1_00087
NZ_CP044524.1|NZ_CP044524.1_00029	NZ_CP044524.1	cluster_20435	NZ_CP119788.1|NZ_CP119788.1_00087
NZ_CP119788.1|NZ_CP119788.1_00088	NZ_CP119788.1	cluster_20436	NZ_CP119788.1|NZ_CP119788.1_00088
NZ_CP119788.1|NZ_CP119788.1_00092	NZ_CP119788.1	cluster_20437	NZ_CP119788.1|NZ_CP119788.1_00092
NZ_CP119788.1|NZ_CP119788.1_00093	NZ_CP119788.1	cluster_20438	NZ_CP119788.1|NZ_CP119788.1_00093
NZ_CP119788.1|NZ_CP119788.1_00094	NZ_CP119788.1	cluster_20439	NZ_CP119788.1|NZ_CP119788.1_00094
NZ_CP119788.1|NZ_CP119788.1_00095	NZ_CP119788.1	cluster_20440	NZ_CP119788.1|NZ_CP119788.1_00095
NZ_CP119788.1|NZ_CP119788.1_00096	NZ_CP119788.1	cluster_20441	NZ_CP119788.1|NZ_CP119788.1_00096
NZ_CP119788.1|NZ_CP119788.1_00101	NZ_CP119788.1	cluster_20442	NZ_CP119788.1|NZ_CP119788.1_00101
NZ_CP119788.1|NZ_CP119788.1_00004	NZ_CP119788.1	cluster_20442	NZ_CP119788.1|NZ_CP119788.1_00101
NZ_CP119788.1|NZ_CP119788.1_00102	NZ_CP119788.1	cluster_20443	NZ_CP119788.1|NZ_CP119788.1_00102
NZ_CP119788.1|NZ_CP119788.1_00005	NZ_CP119788.1	cluster_20443	NZ_CP119788.1|NZ_CP119788.1_00102
NZ_CP119788.1|NZ_CP119788.1_00106	NZ_CP119788.1	cluster_20444	NZ_CP119788.1|NZ_CP119788.1_00106
NZ_CP119788.1|NZ_CP119788.1_00107	NZ_CP119788.1	cluster_20445	NZ_CP119788.1|NZ_CP119788.1_00107
NZ_CP119788.1|NZ_CP119788.1_00013	NZ_CP119788.1	cluster_20445	NZ_CP119788.1|NZ_CP119788.1_00107
NZ_CP119788.1|NZ_CP119788.1_00108	NZ_CP119788.1	cluster_20446	NZ_CP119788.1|NZ_CP119788.1_00108
NZ_CP119788.1|NZ_CP119788.1_00109	NZ_CP119788.1	cluster_20447	NZ_CP119788.1|NZ_CP119788.1_00109
NZ_CP054590.1|NZ_CP054590.1_00027	NZ_CP054590.1	cluster_20447	NZ_CP119788.1|NZ_CP119788.1_00109
NZ_CP064792.1|NZ_CP064792.1_00145	NZ_CP064792.1	cluster_20447	NZ_CP119788.1|NZ_CP119788.1_00109
NZ_CP119788.1|NZ_CP119788.1_00110	NZ_CP119788.1	cluster_20448	NZ_CP119788.1|NZ_CP119788.1_00110
NZ_CP119788.1|NZ_CP119788.1_00016	NZ_CP119788.1	cluster_20448	NZ_CP119788.1|NZ_CP119788.1_00110
NZ_CP119788.1|NZ_CP119788.1_00111	NZ_CP119788.1	cluster_20449	NZ_CP119788.1|NZ_CP119788.1_00111
NZ_CP119788.1|NZ_CP119788.1_00017	NZ_CP119788.1	cluster_20449	NZ_CP119788.1|NZ_CP119788.1_00111
NZ_CP119788.1|NZ_CP119788.1_00113	NZ_CP119788.1	cluster_20450	NZ_CP119788.1|NZ_CP119788.1_00113
NZ_CP119788.1|NZ_CP119788.1_00020	NZ_CP119788.1	cluster_20450	NZ_CP119788.1|NZ_CP119788.1_00113
NZ_CP119788.1|NZ_CP119788.1_00118	NZ_CP119788.1	cluster_20451	NZ_CP119788.1|NZ_CP119788.1_00118
NZ_CP119788.1|NZ_CP119788.1_00026	NZ_CP119788.1	cluster_20451	NZ_CP119788.1|NZ_CP119788.1_00118
NZ_CP119788.1|NZ_CP119788.1_00123	NZ_CP119788.1	cluster_20452	NZ_CP119788.1|NZ_CP119788.1_00123
NZ_CP119788.1|NZ_CP119788.1_00031	NZ_CP119788.1	cluster_20452	NZ_CP119788.1|NZ_CP119788.1_00123
NZ_CP119788.1|NZ_CP119788.1_00126	NZ_CP119788.1	cluster_20453	NZ_CP119788.1|NZ_CP119788.1_00126
NZ_CP119788.1|NZ_CP119788.1_00036	NZ_CP119788.1	cluster_20453	NZ_CP119788.1|NZ_CP119788.1_00126
NZ_CP119788.1|NZ_CP119788.1_00129	NZ_CP119788.1	cluster_20454	NZ_CP119788.1|NZ_CP119788.1_00129
NZ_CP119792.1|NZ_CP119792.1_00462	NZ_CP119792.1	cluster_20605	NZ_CP119792.1|NZ_CP119792.1_00462
NZ_CP119783.1|NZ_CP119783.1_00478	NZ_CP119783.1	cluster_20605	NZ_CP119792.1|NZ_CP119792.1_00462
NZ_CP119797.1|NZ_CP119797.1_00533	NZ_CP119797.1	cluster_20740	NZ_CP119797.1|NZ_CP119797.1_00533
NZ_CP083667.1|NZ_CP083667.1_00262	NZ_CP083667.1	cluster_20740	NZ_CP119797.1|NZ_CP119797.1_00533
NC_014731.1|NC_014731.1_00065	NC_014731.1	cluster_20740	NZ_CP119797.1|NZ_CP119797.1_00533
NZ_CP083664.1|NZ_CP083664.1_00257	NZ_CP083664.1	cluster_20740	NZ_CP119797.1|NZ_CP119797.1_00533
NZ_CP111037.1|NZ_CP111037.1_00247	NZ_CP111037.1	cluster_20740	NZ_CP119797.1|NZ_CP119797.1_00533
NZ_MN918443.1|NZ_MN918443.1_00035	NZ_MN918443.1	cluster_20740	NZ_CP119797.1|NZ_CP119797.1_00533
NZ_CP100455.1|NZ_CP100455.1_00449	NZ_CP100455.1	cluster_20740	NZ_CP119797.1|NZ_CP119797.1_00533
NZ_CP111040.1|NZ_CP111040.1_00062	NZ_CP111040.1	cluster_20740	NZ_CP119797.1|NZ_CP119797.1_00533
NZ_CP119797.1|NZ_CP119797.1_00543	NZ_CP119797.1	cluster_20741	NZ_CP119797.1|NZ_CP119797.1_00543
CP050017.1|CP050017.1_00221	CP050017.1	cluster_20741	NZ_CP119797.1|NZ_CP119797.1_00543
NZ_CP040332.1|NZ_CP040332.1_00240	NZ_CP040332.1	cluster_20741	NZ_CP119797.1|NZ_CP119797.1_00543
NZ_CP119797.1|NZ_CP119797.1_00547	NZ_CP119797.1	cluster_20742	NZ_CP119797.1|NZ_CP119797.1_00547
NZ_CP119797.1|NZ_CP119797.1_00550	NZ_CP119797.1	cluster_20743	NZ_CP119797.1|NZ_CP119797.1_00550
NZ_CP040638.1|NZ_CP040638.1_00156	NZ_CP040638.1	cluster_20743	NZ_CP119797.1|NZ_CP119797.1_00550
NZ_CP119797.1|NZ_CP119797.1_00741	NZ_CP119797.1	cluster_20743	NZ_CP119797.1|NZ_CP119797.1_00550
NZ_CP111041.1|NZ_CP111041.1_00457	NZ_CP111041.1	cluster_20743	NZ_CP119797.1|NZ_CP119797.1_00550
NZ_CP119797.1|NZ_CP119797.1_00551	NZ_CP119797.1	cluster_20744	NZ_CP119797.1|NZ_CP119797.1_00551
NZ_CP119797.1|NZ_CP119797.1_00552	NZ_CP119797.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
CP119780.1|CP119780.1_00108	CP119780.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP081959.1|NZ_CP081959.1_00067	NZ_CP081959.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP095009.1|NZ_CP095009.1_00071	NZ_CP095009.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP095398.1|NZ_CP095398.1_00455	NZ_CP095398.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP096021.1|NZ_CP096021.1_00073	NZ_CP096021.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NC_017944.1|NC_017944.1_00474	NC_017944.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NC_014736.1|NC_014736.1_00125	NC_014736.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP007554.1|NZ_CP007554.1_00033	NZ_CP007554.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP081959.1|NZ_CP081959.1_00078	NZ_CP081959.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP119783.1|NZ_CP119783.1_00302	NZ_CP119783.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP119792.1|NZ_CP119792.1_00103	NZ_CP119792.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP120472.1|NZ_CP120472.1_00055	NZ_CP120472.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NC_013966.1|NC_013966.1_00464	NC_013966.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP011949.1|NZ_CP011949.1_00032	NZ_CP011949.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP063207.1|NZ_CP063207.1_00122	NZ_CP063207.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
NZ_CP104743.1|NZ_CP104743.1_00158	NZ_CP104743.1	cluster_20745	NZ_CP119797.1|NZ_CP119797.1_00552
